Product Type,Product Weight (kg),Purpose,Vehicle Type,maxWeightCapacity
Vegetables,173,crops,Motorcyle with Box,1017
Vegetables,7019,crops,Dropside Truck,8714
Eggs,2145,perishable goods,Small Refrigerated Truck,3795
Meat,7171,perishable goods,Large Refrigerated Truck,7588
Cows,6177,livestock,Large Livestock Truck,7543
Meat,250,perishable goods,Small Refrigerated Van,516
Meat,10378,perishable goods,10 wheeler Reefer Truck,11039
Pigs,8266,livestock,10 wheeler Livestock Truck,10082
Corn,6500,crops,Dropside Truck,7394
Pigs,4881,livestock,Large Livestock Truck,5962
Rice,8443,crops,Dropside Truck,9081
Corn,5797,crops,Dropside Truck,6978
Frozen Fish,6574,perishable goods,Large Refrigerated Truck,7932
Meat,3219,perishable goods,Medium Refrigerated Truck,5055
Fresh Vegetables,10227,perishable goods,10 wheeler Reefer Truck,11400
Eggs,7055,perishable goods,Large Refrigerated Truck,8475
Goats,4287,livestock,Large Livestock Truck,5693
Milk,4774,perishable goods,Medium Refrigerated Truck,6302
Goats,7761,livestock,10 wheeler Livestock Truck,9384
Leafy Greens,419,perishable goods,Small Refrigerated Van,2162
Frozen Fish,3712,perishable goods,Medium Refrigerated Truck,5384
Pigs,7079,livestock,10 wheeler Livestock Truck,8186
Meat,4855,perishable goods,Medium Refrigerated Truck,6636
Corn,8652,crops,10 Wheeler Cargo Truck,10460
Goats,2052,livestock,Medium Livestock Truck,2579
Vegetables,12849,crops,10 Wheeler Dump Truck,13320
Milk,6100,perishable goods,Large Refrigerated Truck,6294
Goats,339,livestock,Small Livestock Truck,1701
Fresh Vegetables,7435,perishable goods,Large Refrigerated Truck,9195
Chickens,8330,livestock,10 wheeler Livestock Truck,9753
Fruits,7502,crops,Dropside Truck,9033
Fresh Vegetables,5994,perishable goods,Large Refrigerated Truck,6878
Goats,8676,livestock,10 wheeler Livestock Truck,9280
Fruits,12504,crops,10 Wheeler Dump Truck,13263
Chickens,1459,livestock,Small Livestock Truck,2566
Corn,922,crops,Small Pickup Truck,2049
Fresh Vegetables,6000,perishable goods,Large Refrigerated Truck,7788
Goats,1976,livestock,Medium Livestock Truck,3260
Frozen Fish,2336,perishable goods,Small Refrigerated Truck,2779
Rice,3512,crops,Heavy Duty Pickup Truck,3669
Vegetables,12943,crops,10 Wheeler Dump Truck,13963
Fruits,1484,crops,Elf Truck,3197
Goats,9098,livestock,10 wheeler Livestock Truck,10921
Chickens,5423,livestock,Large Livestock Truck,6546
Eggs,6131,perishable goods,Large Refrigerated Truck,6608
Corn,3818,crops,Heavy Duty Pickup Truck,4987
Goats,6841,livestock,Large Livestock Truck,8257
Cows,2366,livestock,Medium Livestock Truck,3044
Vegetables,888,crops,Small Delivery Van,1886
Pigs,2765,livestock,Medium Livestock Truck,3182
Vegetables,3096,crops,Large Pickup Truck,4062
Fresh Vegetables,6891,perishable goods,Large Refrigerated Truck,7621
Eggs,9442,perishable goods,10 wheeler Reefer Truck,11254
Pigs,9819,livestock,10 wheeler Livestock Truck,10770
Fresh Vegetables,3186,perishable goods,Medium Refrigerated Truck,3674
Fresh Vegetables,9713,perishable goods,10 wheeler Reefer Truck,11090
Corn,3459,crops,Heavy Duty Pickup Truck,4621
Leafy Greens,1337,perishable goods,Large Refrigerated Van,1856
Leafy Greens,10841,perishable goods,10 wheeler Reefer Truck,11367
Corn,3327,crops,Large Pickup Truck,4044
Goats,3928,livestock,Large Livestock Truck,5624
Vegetables,8580,crops,Dropside Truck,9492
Frozen Fish,11218,perishable goods,10 wheeler Reefer Truck,11377
Milk,11409,perishable goods,10 wheeler Reefer Truck,13405
Leafy Greens,2295,perishable goods,Small Refrigerated Truck,2647
Milk,7069,perishable goods,Large Refrigerated Truck,8329
Chickens,3424,livestock,Large Livestock Truck,4534
Vegetables,4327,crops,Heavy Duty Pickup Truck,5958
Eggs,10948,perishable goods,10 wheeler Reefer Truck,12082
Pigs,8857,livestock,10 wheeler Livestock Truck,9087
Eggs,462,perishable goods,Small Refrigerated Van,1517
Corn,1141,crops,Small Delivery Van,2027
Milk,6472,perishable goods,Large Refrigerated Truck,7332
Cows,3169,livestock,Large Livestock Truck,4207
Leafy Greens,10784,perishable goods,10 wheeler Reefer Truck,11593
Frozen Fish,2878,perishable goods,Small Refrigerated Truck,2980
Fruits,5094,crops,Dropside Truck,6499
Chickens,11731,livestock,10 wheeler Livestock Truck,13228
Frozen Fish,2752,perishable goods,Small Refrigerated Truck,2980
Leafy Greens,5991,perishable goods,Large Refrigerated Truck,6402
Pigs,8053,livestock,10 wheeler Livestock Truck,9019
Cows,1431,livestock,Small Livestock Truck,3108
Meat,10779,perishable goods,10 wheeler Reefer Truck,11701
Pigs,2339,livestock,Medium Livestock Truck,3512
Eggs,9942,perishable goods,10 wheeler Reefer Truck,11905
Leafy Greens,11643,perishable goods,10 wheeler Reefer Truck,12740
Fruits,7079,crops,Dropside Truck,8516
Rice,5459,crops,Dropside Truck,5588
Corn,10970,crops,10 Wheeler Cargo Truck,11797
Vegetables,3715,crops,Heavy Duty Pickup Truck,5707
Pigs,7914,livestock,10 wheeler Livestock Truck,9164
Chickens,1759,livestock,Medium Livestock Truck,3178
Fruits,7684,crops,Dropside Truck,8938
Eggs,4272,perishable goods,Medium Refrigerated Truck,6174
Frozen Fish,7964,perishable goods,Large Refrigerated Truck,8292
Leafy Greens,5458,perishable goods,Large Refrigerated Truck,6235
Milk,7299,perishable goods,Large Refrigerated Truck,9181
Corn,1446,crops,Large Delivery Van,2299
Frozen Fish,3234,perishable goods,Medium Refrigerated Truck,3414
Fresh Vegetables,4036,perishable goods,Medium Refrigerated Truck,5440
Goats,8275,livestock,10 wheeler Livestock Truck,9362
Pigs,9127,livestock,10 wheeler Livestock Truck,10945
Chickens,6455,livestock,Large Livestock Truck,7016
Fresh Vegetables,7815,perishable goods,Large Refrigerated Truck,8652
Corn,5712,crops,Dropside Truck,6710
Leafy Greens,3235,perishable goods,Medium Refrigerated Truck,4504
Eggs,726,perishable goods,Small Refrigerated Van,2363
Fruits,3703,crops,Heavy Duty Pickup Truck,4001
Fruits,6228,crops,Dropside Truck,8048
Fresh Vegetables,11493,perishable goods,10 wheeler Reefer Truck,13345
Pigs,6309,livestock,Large Livestock Truck,7961
Milk,6874,perishable goods,Large Refrigerated Truck,7401
Goats,2418,livestock,Medium Livestock Truck,2531
Milk,10430,perishable goods,10 wheeler Reefer Truck,11467
Fresh Vegetables,11357,perishable goods,10 wheeler Reefer Truck,12519
Fresh Vegetables,9350,perishable goods,10 wheeler Reefer Truck,10531
Milk,6386,perishable goods,Large Refrigerated Truck,7094
Vegetables,14953,crops,10 Wheeler Dump Truck,16060
Leafy Greens,3731,perishable goods,Medium Refrigerated Truck,5611
Goats,11524,livestock,10 wheeler Livestock Truck,12193
Goats,7689,livestock,10 wheeler Livestock Truck,9548
Corn,9112,crops,10 Wheeler Cargo Truck,9593
Corn,1819,crops,Elf Truck,1959
Fruits,4988,crops,Dropside Truck,5441
Goats,5243,livestock,Large Livestock Truck,6225
Leafy Greens,6043,perishable goods,Large Refrigerated Truck,6935
Leafy Greens,10870,perishable goods,10 wheeler Reefer Truck,11017
Eggs,5108,perishable goods,Large Refrigerated Truck,5478
Eggs,5304,perishable goods,Large Refrigerated Truck,7148
Eggs,9040,perishable goods,10 wheeler Reefer Truck,10262
Fresh Vegetables,2748,perishable goods,Small Refrigerated Truck,4413
Milk,10288,perishable goods,10 wheeler Reefer Truck,11094
Eggs,6651,perishable goods,Large Refrigerated Truck,7016
Vegetables,13204,crops,10 Wheeler Dump Truck,14243
Vegetables,10473,crops,10 Wheeler Cargo Truck,10628
Pigs,2050,livestock,Medium Livestock Truck,3632
Pigs,11127,livestock,10 wheeler Livestock Truck,12539
Goats,6122,livestock,Large Livestock Truck,7650
Corn,1397,crops,Large Multicab,2273
Pigs,416,livestock,Small Livestock Truck,1967
Frozen Fish,565,perishable goods,Small Refrigerated Van,1199
Fresh Vegetables,7581,perishable goods,Large Refrigerated Truck,8002
Leafy Greens,5398,perishable goods,Large Refrigerated Truck,6792
Corn,245,crops,Tricycle,1678
Goats,9217,livestock,10 wheeler Livestock Truck,11053
Cows,7186,livestock,10 wheeler Livestock Truck,9049
Meat,8119,perishable goods,Large Refrigerated Truck,8318
Corn,1509,crops,Elf Truck,2488
Corn,2059,crops,Elf Truck,3299
Fruits,5811,crops,Dropside Truck,7472
Fresh Vegetables,10364,perishable goods,10 wheeler Reefer Truck,11728
Corn,2556,crops,Elf Truck,3468
Corn,14096,crops,10 Wheeler Dump Truck,15809
Fresh Vegetables,10226,perishable goods,10 wheeler Reefer Truck,10329
Cows,6263,livestock,Large Livestock Truck,6414
Leafy Greens,1568,perishable goods,Small Refrigerated Truck,2125
Rice,14901,crops,10 Wheeler Dump Truck,15124
Chickens,2687,livestock,Medium Livestock Truck,3687
Fruits,3308,crops,Large Pickup Truck,3524
Chickens,1753,livestock,Medium Livestock Truck,3691
Fruits,11688,crops,10 Wheeler Cargo Truck,11986
Vegetables,904,crops,Small Multicab,2334
Corn,1583,crops,Large Delivery Van,2285
Rice,6411,crops,Dropside Truck,7347
Frozen Fish,10106,perishable goods,10 wheeler Reefer Truck,10231
Frozen Fish,8848,perishable goods,Large Refrigerated Truck,10751
Vegetables,797,crops,Small Pickup Truck,1574
Pigs,6691,livestock,Large Livestock Truck,8112
Milk,6890,perishable goods,Large Refrigerated Truck,8873
Fresh Vegetables,8850,perishable goods,Large Refrigerated Truck,10422
Fruits,11191,crops,10 Wheeler Cargo Truck,12699
Vegetables,3699,crops,Heavy Duty Pickup Truck,5645
Corn,11436,crops,10 Wheeler Dump Truck,12769
Corn,227,crops,Tricycle,1408
Leafy Greens,5849,perishable goods,Large Refrigerated Truck,6543
Rice,10307,crops,10 Wheeler Cargo Truck,11909
Fresh Vegetables,670,perishable goods,Small Refrigerated Van,2102
Milk,6540,perishable goods,Large Refrigerated Truck,7145
Meat,7847,perishable goods,Large Refrigerated Truck,8400
Cows,9337,livestock,10 wheeler Livestock Truck,10789
Fresh Vegetables,1866,perishable goods,Small Refrigerated Truck,3444
Eggs,3813,perishable goods,Medium Refrigerated Truck,4395
Fresh Vegetables,2332,perishable goods,Small Refrigerated Truck,3679
Milk,2903,perishable goods,Small Refrigerated Truck,3824
Fresh Vegetables,1461,perishable goods,Large Refrigerated Van,2589
Meat,1945,perishable goods,Small Refrigerated Truck,3112
Leafy Greens,7304,perishable goods,Large Refrigerated Truck,7408
Meat,6694,perishable goods,Large Refrigerated Truck,8182
Corn,6341,crops,Dropside Truck,6578
Cows,3864,livestock,Large Livestock Truck,5080
Vegetables,4140,crops,Heavy Duty Pickup Truck,5505
Chickens,6914,livestock,Large Livestock Truck,8404
Fruits,8518,crops,10 Wheeler Cargo Truck,10443
Leafy Greens,40,perishable goods,Small Refrigerated Van,203
Milk,7707,perishable goods,Large Refrigerated Truck,8085
Eggs,11351,perishable goods,10 wheeler Reefer Truck,12410
Corn,7928,crops,Dropside Truck,9755
Milk,5783,perishable goods,Large Refrigerated Truck,6377
Fresh Vegetables,10767,perishable goods,10 wheeler Reefer Truck,12433
Goats,8801,livestock,10 wheeler Livestock Truck,10440
Milk,5929,perishable goods,Large Refrigerated Truck,7001
Milk,4676,perishable goods,Medium Refrigerated Truck,6454
Frozen Fish,11079,perishable goods,10 wheeler Reefer Truck,11667
Chickens,7723,livestock,10 wheeler Livestock Truck,7940
Milk,11110,perishable goods,10 wheeler Reefer Truck,11693
Vegetables,3651,crops,Heavy Duty Pickup Truck,4829
Meat,11145,perishable goods,10 wheeler Reefer Truck,11987
Fresh Vegetables,10177,perishable goods,10 wheeler Reefer Truck,10665
Pigs,5415,livestock,Large Livestock Truck,6049
Milk,10475,perishable goods,10 wheeler Reefer Truck,10692
Pigs,9438,livestock,10 wheeler Livestock Truck,11358
Milk,5184,perishable goods,Large Refrigerated Truck,6429
Milk,2452,perishable goods,Small Refrigerated Truck,3735
Pigs,559,livestock,Small Livestock Truck,1663
Rice,13471,crops,10 Wheeler Dump Truck,13902
Rice,8692,crops,Dropside Truck,8814
Leafy Greens,2439,perishable goods,Small Refrigerated Truck,3935
Eggs,4670,perishable goods,Medium Refrigerated Truck,6639
Corn,7548,crops,Dropside Truck,8153
Chickens,8430,livestock,10 wheeler Livestock Truck,8658
Chickens,6237,livestock,Large Livestock Truck,7781
Frozen Fish,10930,perishable goods,10 wheeler Reefer Truck,11767
Eggs,5240,perishable goods,Large Refrigerated Truck,6490
Fruits,4313,crops,Heavy Duty Pickup Truck,5343
Cows,4090,livestock,Large Livestock Truck,4866
Fresh Vegetables,10982,perishable goods,10 wheeler Reefer Truck,12420
Fruits,2876,crops,Large Pickup Truck,3408
Milk,3515,perishable goods,Medium Refrigerated Truck,4963
Eggs,617,perishable goods,Small Refrigerated Van,891
Meat,2842,perishable goods,Small Refrigerated Truck,2980
Leafy Greens,630,perishable goods,Small Refrigerated Van,1320
Vegetables,14944,crops,10 Wheeler Dump Truck,16448
Chickens,11647,livestock,10 wheeler Livestock Truck,11867
Meat,10873,perishable goods,10 wheeler Reefer Truck,11590
Rice,11669,crops,10 Wheeler Cargo Truck,12686
Pigs,440,livestock,Small Livestock Truck,2358
Meat,6127,perishable goods,Large Refrigerated Truck,6262
Milk,9013,perishable goods,10 wheeler Reefer Truck,9220
Eggs,11972,perishable goods,10 wheeler Reefer Truck,13316
Meat,9872,perishable goods,10 wheeler Reefer Truck,11480
Pigs,2537,livestock,Medium Livestock Truck,3888
Fresh Vegetables,8695,perishable goods,Large Refrigerated Truck,9873
Frozen Fish,11307,perishable goods,10 wheeler Reefer Truck,12364
Frozen Fish,8741,perishable goods,Large Refrigerated Truck,9289
Leafy Greens,8649,perishable goods,Large Refrigerated Truck,10287
Pigs,10681,livestock,10 wheeler Livestock Truck,11985
Rice,11045,crops,10 Wheeler Dump Truck,12949
Leafy Greens,4685,perishable goods,Medium Refrigerated Truck,5536
Goats,3096,livestock,Large Livestock Truck,3215
Corn,5801,crops,Dropside Truck,7050
Frozen Fish,8307,perishable goods,Large Refrigerated Truck,9341
Frozen Fish,4557,perishable goods,Medium Refrigerated Truck,5670
Cows,4670,livestock,Large Livestock Truck,4817
Vegetables,3253,crops,Elf Truck,3775
Rice,6398,crops,Dropside Truck,8105
Milk,5153,perishable goods,Large Refrigerated Truck,6995
Chickens,4925,livestock,Large Livestock Truck,5090
Cows,7602,livestock,10 wheeler Livestock Truck,8339
Meat,11337,perishable goods,10 wheeler Reefer Truck,12864
Meat,6746,perishable goods,Large Refrigerated Truck,6943
Milk,11345,perishable goods,10 wheeler Reefer Truck,11886
Eggs,6092,perishable goods,Large Refrigerated Truck,6951
Corn,10536,crops,10 Wheeler Cargo Truck,10699
Corn,1047,crops,Small Pickup Truck,1278
Vegetables,3793,crops,Heavy Duty Pickup Truck,4175
Corn,8782,crops,Dropside Truck,9243
Cows,913,livestock,Small Livestock Truck,2186
Goats,3117,livestock,Large Livestock Truck,4077
Milk,3769,perishable goods,Medium Refrigerated Truck,5170
Frozen Fish,9343,perishable goods,10 wheeler Reefer Truck,10854
Meat,8985,perishable goods,Large Refrigerated Truck,9494
Meat,7001,perishable goods,Large Refrigerated Truck,8597
Milk,3390,perishable goods,Medium Refrigerated Truck,3621
Chickens,1472,livestock,Small Livestock Truck,2228
Eggs,5382,perishable goods,Large Refrigerated Truck,6549
Pigs,8325,livestock,10 wheeler Livestock Truck,9164
Corn,4993,crops,Dropside Truck,5157
Eggs,4272,perishable goods,Medium Refrigerated Truck,6207
Chickens,6707,livestock,Large Livestock Truck,8603
Fresh Vegetables,11368,perishable goods,10 wheeler Reefer Truck,11911
Corn,4347,crops,Heavy Duty Pickup Truck,5339
Eggs,2528,perishable goods,Small Refrigerated Truck,3747
Chickens,2713,livestock,Medium Livestock Truck,3865
Cows,4890,livestock,Large Livestock Truck,6054
Milk,3256,perishable goods,Medium Refrigerated Truck,5151
Milk,2107,perishable goods,Small Refrigerated Truck,3077
Pigs,11927,livestock,10 wheeler Livestock Truck,12434
Rice,7984,crops,Dropside Truck,8288
Vegetables,8489,crops,10 Wheeler Cargo Truck,8831
Eggs,10881,perishable goods,10 wheeler Reefer Truck,12760
Rice,11542,crops,10 Wheeler Cargo Truck,12909
Fruits,13576,crops,10 Wheeler Dump Truck,15089
Milk,3413,perishable goods,Medium Refrigerated Truck,5027
Fruits,6182,crops,Dropside Truck,8016
Frozen Fish,7922,perishable goods,Large Refrigerated Truck,8081
Chickens,11115,livestock,10 wheeler Livestock Truck,12206
Fruits,1296,crops,Large Delivery Van,1984
Meat,1053,perishable goods,Medium Refrigerated Van,2808
Leafy Greens,10609,perishable goods,10 wheeler Reefer Truck,11392
Milk,1155,perishable goods,Medium Refrigerated Van,1611
Rice,9698,crops,10 Wheeler Cargo Truck,11694
Leafy Greens,10437,perishable goods,10 wheeler Reefer Truck,11136
Rice,10968,crops,10 Wheeler Cargo Truck,12413
Eggs,4873,perishable goods,Medium Refrigerated Truck,5139
Meat,1580,perishable goods,Small Refrigerated Truck,2880
Rice,8414,crops,10 Wheeler Cargo Truck,9516
Frozen Fish,10111,perishable goods,10 wheeler Reefer Truck,11925
Leafy Greens,6554,perishable goods,Large Refrigerated Truck,8411
Leafy Greens,5802,perishable goods,Large Refrigerated Truck,6673
Pigs,6604,livestock,Large Livestock Truck,7746
Fruits,14020,crops,10 Wheeler Dump Truck,15024
Fresh Vegetables,4368,perishable goods,Medium Refrigerated Truck,6124
Chickens,11794,livestock,10 wheeler Livestock Truck,13297
Pigs,7937,livestock,10 wheeler Livestock Truck,8162
Meat,7300,perishable goods,Large Refrigerated Truck,8763
Eggs,9379,perishable goods,10 wheeler Reefer Truck,10807
Corn,1978,crops,Large Pickup Truck,2147
Fresh Vegetables,10965,perishable goods,10 wheeler Reefer Truck,11572
Corn,1887,crops,Large Delivery Van,3439
Eggs,3668,perishable goods,Medium Refrigerated Truck,5457
Fruits,13671,crops,10 Wheeler Dump Truck,14092
Milk,4952,perishable goods,Medium Refrigerated Truck,6247
Chickens,7545,livestock,10 wheeler Livestock Truck,8125
Fresh Vegetables,3036,perishable goods,Medium Refrigerated Truck,4192
Fruits,4496,crops,Dropside Truck,6468
Leafy Greens,7082,perishable goods,Large Refrigerated Truck,8559
Meat,5985,perishable goods,Large Refrigerated Truck,6771
Eggs,7360,perishable goods,Large Refrigerated Truck,8298
Corn,5907,crops,Dropside Truck,6142
Fruits,2010,crops,Large Pickup Truck,2651
Rice,10567,crops,10 Wheeler Cargo Truck,11828
Corn,5602,crops,Dropside Truck,6410
Leafy Greens,4728,perishable goods,Medium Refrigerated Truck,4840
Chickens,11304,livestock,10 wheeler Livestock Truck,11753
Fresh Vegetables,7329,perishable goods,Large Refrigerated Truck,8402
Cows,1493,livestock,Small Livestock Truck,1805
Frozen Fish,6166,perishable goods,Large Refrigerated Truck,6836
Chickens,11405,livestock,10 wheeler Livestock Truck,11978
Meat,11778,perishable goods,10 wheeler Reefer Truck,13032
Fresh Vegetables,1437,perishable goods,Large Refrigerated Van,3432
Fruits,7223,crops,Dropside Truck,7363
Leafy Greens,1905,perishable goods,Small Refrigerated Truck,3363
Vegetables,5772,crops,Dropside Truck,5884
Milk,4341,perishable goods,Medium Refrigerated Truck,5421
Leafy Greens,195,perishable goods,Small Refrigerated Van,2025
Goats,2753,livestock,Medium Livestock Truck,2933
Pigs,3995,livestock,Large Livestock Truck,4707
Pigs,7991,livestock,10 wheeler Livestock Truck,8979
Milk,1016,perishable goods,Medium Refrigerated Van,2101
Cows,8562,livestock,10 wheeler Livestock Truck,9385
Goats,8835,livestock,10 wheeler Livestock Truck,9658
Milk,8516,perishable goods,Large Refrigerated Truck,9961
Goats,3830,livestock,Large Livestock Truck,3932
Fresh Vegetables,8432,perishable goods,Large Refrigerated Truck,10232
Cows,9332,livestock,10 wheeler Livestock Truck,10458
Fruits,14693,crops,10 Wheeler Dump Truck,15798
Milk,7054,perishable goods,Large Refrigerated Truck,8153
Cows,6208,livestock,Large Livestock Truck,7378
Chickens,10402,livestock,10 wheeler Livestock Truck,11527
Leafy Greens,5171,perishable goods,Large Refrigerated Truck,6805
Frozen Fish,9333,perishable goods,10 wheeler Reefer Truck,10123
