Product Type,Product Weight (kg),Purpose,Vehicle Type,Vehicle Category,maxWeightCapacity
Leafy Greens,2441,perishable goods,Refrigerated Truck,N2,9844
Fruits,111,crops,Tricycle,L1,256
Fruits,1453,crops,Multicab,N1,1769
Chickens,815,livestock,Mini Livestock Truck,N1,1298
Rice,245,crops,Tricycle,L1,527
Meat,1132,perishable goods,Refrigerated Truck,N2,10677
Meat,527,perishable goods,Refrigerated Van,N1,1161
Chickens,709,livestock,Mini Livestock Truck,N1,1678
Fruits,2130,crops,Elf Truck,N2,9065
Leafy Greens,953,perishable goods,Refrigerated Truck,N2,6343
Corn,422,crops,Tricycle,L1,435
Fruits,2746,crops,Multicab,N1,2990
Vegetables,1015,crops,Elf Truck,N2,3979
Chickens,1094,livestock,Mini Livestock Truck,N1,2187
Pigs,320,livestock,Mini Livestock Truck,N1,1826
Goats,1174,livestock,Livestock Truck,N2,4617
Fruits,306,crops,Tricycle,L1,484
Goats,5305,livestock,Livestock Truck,N2,7070
Leafy Greens,1108,perishable goods,Refrigerated Van,N1,1530
Leafy Greens,526,perishable goods,Refrigerated Van,N1,2169
Chickens,559,livestock,Mini Livestock Truck,N1,1914
Meat,1483,perishable goods,Refrigerated Truck,N2,5242
Cows,11091,livestock,Heavy Livestock Trailer,N3,14254
Eggs,1699,perishable goods,Refrigerated Truck,N2,3612
Cows,188,livestock,Mini Livestock Truck,N1,1992
Pigs,1434,livestock,Heavy Livestock Trailer,N3,19623
Corn,876,crops,Multicab,N1,1644
Meat,1172,perishable goods,Refrigerated Van,N1,3274
Corn,378,crops,Multicab,N1,2485
Cows,645,livestock,Mini Livestock Truck,N1,1964
Leafy Greens,399,perishable goods,Refrigerated Truck,N2,10911
Eggs,1190,perishable goods,Refrigerated Truck,N2,3585
Chickens,1013,livestock,Mini Livestock Truck,N1,1584
Cows,3865,livestock,Heavy Livestock Trailer,N3,13091
Frozen Fish,8000,perishable goods,Refrigerated Truck,N2,10572
Cows,392,livestock,Mini Livestock Truck,N1,1132
Chickens,8738,livestock,Heavy Livestock Trailer,N3,15716
Cows,306,livestock,Livestock Truck,N2,3856
Pigs,5275,livestock,Heavy Livestock Trailer,N3,14741
Goats,5445,livestock,Livestock Truck,N2,11960
Meat,1897,perishable goods,Refrigerated Truck,N2,4020
Meat,1121,perishable goods,Refrigerated Truck,N2,4236
Chickens,11508,livestock,Heavy Livestock Trailer,N3,16839
Eggs,2750,perishable goods,Refrigerated Truck,N2,3848
Frozen Fish,2399,perishable goods,Refrigerated Truck,N2,6988
Meat,302,perishable goods,Refrigerated Truck,N2,9677
Fruits,343,crops,Tricycle,L1,602
Frozen Fish,888,perishable goods,Refrigerated Van,N1,1509
Pigs,17254,livestock,Heavy Livestock Trailer,N3,18465
Frozen Fish,3696,perishable goods,Refrigerated Truck,N2,5152
Eggs,118,perishable goods,Refrigerated Van,N1,1865
Vegetables,1748,crops,Multicab,N1,2024
Vegetables,14708,crops,10-Wheeler Truck,N3,19617
Cows,1008,livestock,Mini Livestock Truck,N1,1916
Leafy Greens,9590,perishable goods,Refrigerated Truck,N2,11884
Frozen Fish,3124,perishable goods,Refrigerated Truck,N2,7919
Chickens,666,livestock,Mini Livestock Truck,N1,2503
Leafy Greens,2276,perishable goods,Refrigerated Van,N1,2690
Chickens,1938,livestock,Mini Livestock Truck,N1,2674
Corn,1523,crops,10-Wheeler Truck,N3,12545
Pigs,4053,livestock,Livestock Truck,N2,6702
Chickens,2425,livestock,Mini Livestock Truck,N1,2641
Meat,720,perishable goods,Refrigerated Van,N1,1119
Eggs,4293,perishable goods,Refrigerated Truck,N2,5598
Goats,10431,livestock,Heavy Livestock Trailer,N3,17649
Fruits,2456,crops,Elf Truck,N2,4644
Leafy Greens,9404,perishable goods,Refrigerated Truck,N2,10947
Goats,670,livestock,Livestock Truck,N2,9242
Vegetables,133,crops,Tricycle,L1,417
Leafy Greens,1923,perishable goods,Refrigerated Van,N1,2638
Chickens,660,livestock,Mini Livestock Truck,N1,1795
Leafy Greens,1911,perishable goods,Refrigerated Van,N1,2380
Meat,1270,perishable goods,Refrigerated Van,N1,2823
Vegetables,980,crops,Multicab,N1,1174
Vegetables,1413,crops,Multicab,N1,1757
Pigs,4113,livestock,Heavy Livestock Trailer,N3,13527
Vegetables,591,crops,Tricycle,L1,805
Vegetables,699,crops,Multicab,N1,1023
Fruits,547,crops,Elf Truck,N2,9282
Vegetables,813,crops,Elf Truck,N2,4055
Rice,239,crops,Tricycle,L1,422
Chickens,3049,livestock,Heavy Livestock Trailer,N3,15566
Leafy Greens,6376,perishable goods,Refrigerated Truck,N2,7095
Frozen Fish,1705,perishable goods,Refrigerated Truck,N2,6875
Rice,12019,crops,10-Wheeler Truck,N3,18700
Chickens,1803,livestock,Heavy Livestock Trailer,N3,19732
Leafy Greens,1092,perishable goods,Refrigerated Van,N1,2523
Meat,506,perishable goods,Refrigerated Van,N1,1200
Rice,2485,crops,Elf Truck,N2,4254
Frozen Fish,2093,perishable goods,Refrigerated Van,N1,2745
Leafy Greens,1463,perishable goods,Refrigerated Van,N1,2428
Goats,1336,livestock,Mini Livestock Truck,N1,2752
Corn,1020,crops,Multicab,N1,1626
Eggs,4662,perishable goods,Refrigerated Truck,N2,5363
Eggs,3414,perishable goods,Refrigerated Truck,N2,5857
Eggs,2972,perishable goods,Refrigerated Van,N1,3080
Meat,1727,perishable goods,Refrigerated Van,N1,2863
Vegetables,1554,crops,Multicab,N1,2217
Goats,1520,livestock,Mini Livestock Truck,N1,2588
Pigs,4846,livestock,Livestock Truck,N2,4912
Meat,5015,perishable goods,Refrigerated Truck,N2,8836
Corn,530,crops,Multicab,N1,1576
Chickens,1243,livestock,Mini Livestock Truck,N1,1853
Goats,241,livestock,Mini Livestock Truck,N1,3311
Frozen Fish,6770,perishable goods,Refrigerated Truck,N2,7763
Rice,4043,crops,Elf Truck,N2,7143
Chickens,12462,livestock,Heavy Livestock Trailer,N3,18589
Leafy Greens,8356,perishable goods,Refrigerated Truck,N2,10496
Pigs,472,livestock,Mini Livestock Truck,N1,1585
Leafy Greens,8854,perishable goods,Refrigerated Truck,N2,10480
Corn,7161,crops,Elf Truck,N2,9515
Leafy Greens,633,perishable goods,Refrigerated Truck,N2,6493
Goats,3958,livestock,Livestock Truck,N2,5597
Cows,15707,livestock,Heavy Livestock Trailer,N3,19381
Fruits,1306,crops,Multicab,N1,1512
Chickens,767,livestock,Mini Livestock Truck,N1,1301
Chickens,2112,livestock,Mini Livestock Truck,N1,2320
Fruits,5375,crops,Elf Truck,N2,8347
Eggs,1894,perishable goods,Refrigerated Van,N1,2071
Rice,1427,crops,Multicab,N1,2834
Eggs,4948,perishable goods,Refrigerated Truck,N2,6541
Vegetables,361,crops,Tricycle,L1,450
Meat,249,perishable goods,Refrigerated Truck,N2,3807
Chickens,927,livestock,Mini Livestock Truck,N1,1956
Frozen Fish,8808,perishable goods,Refrigerated Truck,N2,9033
Rice,577,crops,Multicab,N1,1998
Rice,964,crops,Elf Truck,N2,10717
Leafy Greens,4936,perishable goods,Refrigerated Truck,N2,5251
Vegetables,159,crops,Tricycle,L1,703
Corn,1733,crops,Multicab,N1,2407
Frozen Fish,9459,perishable goods,Refrigerated Truck,N2,11967
Leafy Greens,725,perishable goods,Refrigerated Truck,N2,5781
Cows,4427,livestock,Heavy Livestock Trailer,N3,16495
Meat,641,perishable goods,Refrigerated Van,N1,1998
Corn,680,crops,Multicab,N1,1512
Fruits,2149,crops,Multicab,N1,2484
Leafy Greens,349,perishable goods,Refrigerated Van,N1,1304
Meat,3225,perishable goods,Refrigerated Truck,N2,11007
Chickens,2286,livestock,Mini Livestock Truck,N1,2879
Rice,202,crops,Tricycle,L1,710
Pigs,15756,livestock,Heavy Livestock Trailer,N3,16472
Fruits,9095,crops,Elf Truck,N2,11408
Leafy Greens,2758,perishable goods,Refrigerated Truck,N2,8552
Vegetables,3421,crops,Elf Truck,N2,11412
Goats,811,livestock,Mini Livestock Truck,N1,1227
Goats,840,livestock,Mini Livestock Truck,N1,1246
Eggs,1318,perishable goods,Refrigerated Van,N1,1707
Leafy Greens,10603,perishable goods,Refrigerated Truck,N2,11213
Rice,1813,crops,Multicab,N1,2458
Corn,3914,crops,10-Wheeler Truck,N3,14083
Frozen Fish,2157,perishable goods,Refrigerated Truck,N2,5654
Cows,1910,livestock,Mini Livestock Truck,N1,2110
Rice,2674,crops,Multicab,N1,2953
Chickens,4106,livestock,Heavy Livestock Trailer,N3,18214
Frozen Fish,924,perishable goods,Refrigerated Van,N1,1539
Chickens,1422,livestock,Mini Livestock Truck,N1,1424
Meat,1812,perishable goods,Refrigerated Van,N1,3260
Corn,1576,crops,Multicab,N1,2739
Chickens,5547,livestock,Heavy Livestock Trailer,N3,12848
Frozen Fish,323,perishable goods,Refrigerated Van,N1,2260
Fruits,1067,crops,Multicab,N1,2703
Chickens,12711,livestock,Heavy Livestock Trailer,N3,15831
Pigs,1798,livestock,Livestock Truck,N2,10834
Cows,11702,livestock,Heavy Livestock Trailer,N3,15002
Leafy Greens,8821,perishable goods,Refrigerated Truck,N2,10863
Cows,1447,livestock,Mini Livestock Truck,N1,2638
Cows,3015,livestock,Livestock Truck,N2,5982
Cows,3961,livestock,Heavy Livestock Trailer,N3,16936
Goats,4778,livestock,Heavy Livestock Trailer,N3,16964
Rice,885,crops,Multicab,N1,2023
Corn,1998,crops,Elf Truck,N2,3589
Goats,2764,livestock,Livestock Truck,N2,9326
Rice,324,crops,Tricycle,L1,473
Chickens,309,livestock,Mini Livestock Truck,N1,1764
Meat,715,perishable goods,Refrigerated Van,N1,1771
Cows,11611,livestock,Heavy Livestock Trailer,N3,13940
Cows,4911,livestock,Heavy Livestock Trailer,N3,17468
Eggs,1508,perishable goods,Refrigerated Van,N1,1651
Corn,4317,crops,Elf Truck,N2,9139
Chickens,9047,livestock,Heavy Livestock Trailer,N3,15038
Rice,195,crops,Tricycle,L1,943
Corn,4800,crops,Elf Truck,N2,7055
Eggs,969,perishable goods,Refrigerated Truck,N2,4856
Corn,3145,crops,Elf Truck,N2,6773
Chickens,223,livestock,Mini Livestock Truck,N1,1101
Vegetables,6979,crops,Elf Truck,N2,11621
Eggs,669,perishable goods,Refrigerated Van,N1,1202
Frozen Fish,1856,perishable goods,Refrigerated Van,N1,2164
Goats,17536,livestock,Heavy Livestock Trailer,N3,18475
Eggs,132,perishable goods,Refrigerated Van,N1,1462
Eggs,1500,perishable goods,Refrigerated Van,N1,2054
Corn,596,crops,Multicab,N1,2773
Leafy Greens,696,perishable goods,Refrigerated Van,N1,1130
Cows,1977,livestock,Mini Livestock Truck,N1,2335
Fruits,914,crops,Multicab,N1,1277
Meat,1150,perishable goods,Refrigerated Van,N1,2010
Eggs,4668,perishable goods,Refrigerated Truck,N2,9970
Goats,14117,livestock,Heavy Livestock Trailer,N3,17750
Corn,1429,crops,Multicab,N1,2618
Corn,1996,crops,Multicab,N1,2344
Leafy Greens,3164,perishable goods,Refrigerated Truck,N2,5519
Meat,467,perishable goods,Refrigerated Van,N1,2775
Corn,1005,crops,Elf Truck,N2,9531
Rice,3408,crops,Elf Truck,N2,4833
Frozen Fish,3956,perishable goods,Refrigerated Truck,N2,5389
Rice,446,crops,Tricycle,L1,540
Frozen Fish,6953,perishable goods,Refrigerated Truck,N2,7229
Cows,5756,livestock,Livestock Truck,N2,5990
Meat,2710,perishable goods,Refrigerated Van,N1,3254
Cows,994,livestock,Mini Livestock Truck,N1,3314
Fruits,154,crops,Multicab,N1,1108
Cows,1194,livestock,Mini Livestock Truck,N1,1809
Eggs,1810,perishable goods,Refrigerated Van,N1,1922
Corn,2362,crops,Multicab,N1,2469
Frozen Fish,4396,perishable goods,Refrigerated Truck,N2,4409
Eggs,7157,perishable goods,Refrigerated Truck,N2,11349
Vegetables,451,crops,Tricycle,L1,830
Cows,1181,livestock,Mini Livestock Truck,N1,2080
Leafy Greens,516,perishable goods,Refrigerated Truck,N2,5659
Leafy Greens,5809,perishable goods,Refrigerated Truck,N2,10985
Goats,3570,livestock,Livestock Truck,N2,3730
Corn,1452,crops,Multicab,N1,2285
Eggs,1629,perishable goods,Refrigerated Van,N1,3108
Goats,5666,livestock,Heavy Livestock Trailer,N3,14938
Pigs,1669,livestock,Livestock Truck,N2,4808
Meat,2350,perishable goods,Refrigerated Truck,N2,11510
Chickens,151,livestock,Mini Livestock Truck,N1,2341
Cows,7429,livestock,Heavy Livestock Trailer,N3,12112
Fruits,8682,crops,10-Wheeler Truck,N3,15031
Goats,842,livestock,Livestock Truck,N2,5141
Meat,1228,perishable goods,Refrigerated Van,N1,2225
Meat,6009,perishable goods,Refrigerated Truck,N2,7905
Corn,1191,crops,Elf Truck,N2,6559
Chickens,835,livestock,Mini Livestock Truck,N1,2378
Vegetables,6449,crops,Elf Truck,N2,8459
Chickens,13923,livestock,Heavy Livestock Trailer,N3,15416
Goats,159,livestock,Mini Livestock Truck,N1,1168
Pigs,1247,livestock,Heavy Livestock Trailer,N3,15333
Leafy Greens,5277,perishable goods,Refrigerated Truck,N2,7891
Meat,5290,perishable goods,Refrigerated Truck,N2,7094
Goats,6516,livestock,Heavy Livestock Trailer,N3,16613
Meat,692,perishable goods,Refrigerated Van,N1,2826
Corn,199,crops,Multicab,N1,2168
Corn,808,crops,Multicab,N1,2014
Chickens,15597,livestock,Heavy Livestock Trailer,N3,15998
Frozen Fish,2906,perishable goods,Refrigerated Truck,N2,5962
Frozen Fish,2048,perishable goods,Refrigerated Truck,N2,8006
Cows,13995,livestock,Heavy Livestock Trailer,N3,19297
Rice,294,crops,Tricycle,L1,611
Pigs,6978,livestock,Heavy Livestock Trailer,N3,17209
Chickens,2872,livestock,Mini Livestock Truck,N1,2988
Goats,906,livestock,Mini Livestock Truck,N1,1351
Leafy Greens,3630,perishable goods,Refrigerated Truck,N2,4603
Pigs,9424,livestock,Heavy Livestock Trailer,N3,14414
Meat,1303,perishable goods,Refrigerated Van,N1,3127
Pigs,1254,livestock,Livestock Truck,N2,3580
Leafy Greens,1044,perishable goods,Refrigerated Truck,N2,3962
Pigs,1959,livestock,Mini Livestock Truck,N1,2755
Rice,1078,crops,Multicab,N1,1422
Rice,1372,crops,Multicab,N1,2484
Frozen Fish,3111,perishable goods,Refrigerated Truck,N2,11031
Meat,2975,perishable goods,Refrigerated Truck,N2,4383
Rice,2084,crops,Multicab,N1,2351
Goats,2793,livestock,Livestock Truck,N2,5952
Eggs,2899,perishable goods,Refrigerated Truck,N2,10029
Cows,3091,livestock,Mini Livestock Truck,N1,3150
Goats,2679,livestock,Livestock Truck,N2,3804
Vegetables,319,crops,Elf Truck,N2,3822
Vegetables,4380,crops,Elf Truck,N2,4623
Fruits,2265,crops,Elf Truck,N2,4333
Leafy Greens,3200,perishable goods,Refrigerated Truck,N2,3955
Corn,374,crops,Tricycle,L1,483
Pigs,2062,livestock,Heavy Livestock Trailer,N3,17263
Meat,8831,perishable goods,Refrigerated Truck,N2,11128
Corn,5106,crops,Elf Truck,N2,7522
Meat,2386,perishable goods,Refrigerated Truck,N2,8242
Goats,9517,livestock,Livestock Truck,N2,10549
Eggs,760,perishable goods,Refrigerated Van,N1,1062
Eggs,8962,perishable goods,Refrigerated Truck,N2,11424
Chickens,991,livestock,Mini Livestock Truck,N1,1047
Frozen Fish,1114,perishable goods,Refrigerated Van,N1,1169
Corn,1462,crops,Multicab,N1,2790
Fruits,392,crops,Tricycle,L1,452
Fruits,1434,crops,Multicab,N1,2218
Rice,3405,crops,Elf Truck,N2,3819
Pigs,1694,livestock,Heavy Livestock Trailer,N3,13636
Fruits,436,crops,Tricycle,L1,768
Chickens,1046,livestock,Mini Livestock Truck,N1,1122
Rice,1975,crops,Multicab,N1,2366
Fruits,114,crops,10-Wheeler Truck,N3,16431
Rice,14589,crops,10-Wheeler Truck,N3,16793
Meat,4059,perishable goods,Refrigerated Truck,N2,7138
Fruits,2282,crops,Multicab,N1,2315
Leafy Greens,505,perishable goods,Refrigerated Van,N1,1004
Pigs,1413,livestock,Mini Livestock Truck,N1,2164
Rice,6111,crops,10-Wheeler Truck,N3,17756
Rice,7087,crops,Elf Truck,N2,7708
Pigs,1084,livestock,Livestock Truck,N2,9076
Meat,3851,perishable goods,Refrigerated Truck,N2,10845
Meat,1536,perishable goods,Refrigerated Van,N1,1631
Goats,7337,livestock,Heavy Livestock Trailer,N3,13983
Fruits,812,crops,Multicab,N1,2004
Goats,6892,livestock,Heavy Livestock Trailer,N3,17074
Cows,2259,livestock,Livestock Truck,N2,4093
Fruits,410,crops,Multicab,N1,1355
Fruits,5107,crops,Elf Truck,N2,11626
Chickens,13817,livestock,Heavy Livestock Trailer,N3,14257
Pigs,6657,livestock,Livestock Truck,N2,7498
Corn,8099,crops,Elf Truck,N2,8270
Goats,489,livestock,Mini Livestock Truck,N1,3147
Goats,906,livestock,Mini Livestock Truck,N1,2488
Eggs,1333,perishable goods,Refrigerated Van,N1,1622
Chickens,2291,livestock,Mini Livestock Truck,N1,2577
Meat,5339,perishable goods,Refrigerated Truck,N2,11425
Eggs,318,perishable goods,Refrigerated Truck,N2,8543
Chickens,725,livestock,Mini Livestock Truck,N1,2717
Eggs,1151,perishable goods,Refrigerated Truck,N2,9355
Cows,197,livestock,Mini Livestock Truck,N1,1918
Leafy Greens,4783,perishable goods,Refrigerated Truck,N2,9761
Meat,5499,perishable goods,Refrigerated Truck,N2,8276
Corn,1574,crops,Elf Truck,N2,5678
Frozen Fish,2207,perishable goods,Refrigerated Van,N1,3320
Goats,7500,livestock,Heavy Livestock Trailer,N3,14757
Leafy Greens,1850,perishable goods,Refrigerated Truck,N2,8771
Leafy Greens,4864,perishable goods,Refrigerated Truck,N2,7744
Fruits,506,crops,Multicab,N1,1459
Goats,1063,livestock,Livestock Truck,N2,6148
Fruits,160,crops,Tricycle,L1,380
Rice,926,crops,Multicab,N1,1679
Rice,7426,crops,Elf Truck,N2,11047
Fruits,632,crops,Multicab,N1,2872
Chickens,4811,livestock,Heavy Livestock Trailer,N3,17704
Meat,229,perishable goods,Refrigerated Van,N1,1870
Meat,2922,perishable goods,Refrigerated Van,N1,3016
Chickens,1233,livestock,Mini Livestock Truck,N1,1673
Eggs,3726,perishable goods,Refrigerated Truck,N2,11996
Rice,2000,crops,Multicab,N1,2216
Eggs,188,perishable goods,Refrigerated Van,N1,2192
Chickens,6460,livestock,Heavy Livestock Trailer,N3,19714
Cows,3714,livestock,Heavy Livestock Trailer,N3,19013
Frozen Fish,351,perishable goods,Refrigerated Truck,N2,9547
Frozen Fish,5463,perishable goods,Refrigerated Truck,N2,5969
Vegetables,4692,crops,Elf Truck,N2,9710
Vegetables,148,crops,Multicab,N1,1756
Eggs,429,perishable goods,Refrigerated Van,N1,1991
Leafy Greens,4100,perishable goods,Refrigerated Truck,N2,10646
Cows,567,livestock,Mini Livestock Truck,N1,1831
Eggs,659,perishable goods,Refrigerated Van,N1,3379
Rice,1131,crops,Multicab,N1,2252
Rice,312,crops,Tricycle,L1,378
Cows,14629,livestock,Heavy Livestock Trailer,N3,19925
Rice,16524,crops,10-Wheeler Truck,N3,18891
Pigs,3214,livestock,Livestock Truck,N2,7080
Eggs,140,perishable goods,Refrigerated Van,N1,2727
Fruits,1856,crops,Elf Truck,N2,4483
Goats,1348,livestock,Mini Livestock Truck,N1,1557
Vegetables,890,crops,Multicab,N1,2071
Corn,1050,crops,Multicab,N1,2597
Corn,3990,crops,Elf Truck,N2,7300
Meat,1484,perishable goods,Refrigerated Van,N1,2746
Pigs,8789,livestock,Heavy Livestock Trailer,N3,15092
Leafy Greens,1572,perishable goods,Refrigerated Truck,N2,11817
Leafy Greens,1931,perishable goods,Refrigerated Truck,N2,7285
Leafy Greens,4267,perishable goods,Refrigerated Truck,N2,8621
Meat,8192,perishable goods,Refrigerated Truck,N2,9536
Chickens,3014,livestock,Mini Livestock Truck,N1,3097
Meat,466,perishable goods,Refrigerated Van,N1,1088
Cows,3157,livestock,Livestock Truck,N2,7877
Goats,1648,livestock,Livestock Truck,N2,5231
Goats,154,livestock,Mini Livestock Truck,N1,1813
Vegetables,456,crops,Tricycle,L1,972
Corn,2467,crops,Multicab,N1,2556
Corn,1216,crops,Multicab,N1,2075
Leafy Greens,372,perishable goods,Refrigerated Van,N1,3413
Frozen Fish,1186,perishable goods,Refrigerated Truck,N2,4850
Rice,284,crops,Multicab,N1,2264
Eggs,2996,perishable goods,Refrigerated Van,N1,3194
Corn,469,crops,Tricycle,L1,493
Pigs,11699,livestock,Heavy Livestock Trailer,N3,12527
Rice,2901,crops,Multicab,N1,2976
Chickens,12686,livestock,Heavy Livestock Trailer,N3,17791
Rice,11088,crops,Elf Truck,N2,11537
Chickens,188,livestock,Mini Livestock Truck,N1,2049
Frozen Fish,1087,perishable goods,Refrigerated Van,N1,1104
Cows,1546,livestock,Livestock Truck,N2,9123
Rice,352,crops,Tricycle,L1,522
Cows,1167,livestock,Mini Livestock Truck,N1,1834
Leafy Greens,4770,perishable goods,Refrigerated Truck,N2,7032
Chickens,290,livestock,Mini Livestock Truck,N1,1447
Corn,1472,crops,Multicab,N1,1586
Corn,4694,crops,Elf Truck,N2,7687
Goats,5669,livestock,Livestock Truck,N2,9563
Chickens,8185,livestock,Heavy Livestock Trailer,N3,12447
Corn,542,crops,Elf Truck,N2,4132
Chickens,431,livestock,Mini Livestock Truck,N1,1016
Eggs,2937,perishable goods,Refrigerated Truck,N2,11028
Pigs,2203,livestock,Livestock Truck,N2,7095
Eggs,1607,perishable goods,Refrigerated Truck,N2,4096
Corn,5792,crops,Elf Truck,N2,7748
Vegetables,2574,crops,Elf Truck,N2,4521
Eggs,1391,perishable goods,Refrigerated Van,N1,2142
Leafy Greens,810,perishable goods,Refrigerated Van,N1,1134
Eggs,129,perishable goods,Refrigerated Van,N1,2162
Meat,1599,perishable goods,Refrigerated Van,N1,1629
Corn,117,crops,Tricycle,L1,180
Fruits,1038,crops,Multicab,N1,2281
Corn,2536,crops,Elf Truck,N2,8560
Eggs,4209,perishable goods,Refrigerated Truck,N2,7908
Corn,145,crops,Tricycle,L1,805
Pigs,1137,livestock,Mini Livestock Truck,N1,3097
Leafy Greens,1613,perishable goods,Refrigerated Truck,N2,6300
Goats,578,livestock,Livestock Truck,N2,4764
Frozen Fish,6158,perishable goods,Refrigerated Truck,N2,8619
Pigs,1483,livestock,Mini Livestock Truck,N1,1640
Corn,1869,crops,Multicab,N1,2898
Frozen Fish,1430,perishable goods,Refrigerated Van,N1,2791
Chickens,10997,livestock,Heavy Livestock Trailer,N3,19862
Rice,5075,crops,Elf Truck,N2,5829
Goats,13463,livestock,Heavy Livestock Trailer,N3,19961
Chickens,2012,livestock,Mini Livestock Truck,N1,2810
Rice,7967,crops,Elf Truck,N2,10644
Fruits,1124,crops,Multicab,N1,2521
Rice,6711,crops,Elf Truck,N2,8250
Pigs,1779,livestock,Mini Livestock Truck,N1,2149
Frozen Fish,1235,perishable goods,Refrigerated Van,N1,1911
Eggs,5824,perishable goods,Refrigerated Truck,N2,9341
Pigs,9988,livestock,Heavy Livestock Trailer,N3,19656
Vegetables,2509,crops,Multicab,N1,2963
Chickens,5200,livestock,Heavy Livestock Trailer,N3,13766
Frozen Fish,4374,perishable goods,Refrigerated Truck,N2,7695
Vegetables,666,crops,Elf Truck,N2,5643
Fruits,7689,crops,10-Wheeler Truck,N3,18074
Eggs,984,perishable goods,Refrigerated Truck,N2,10741
Vegetables,10057,crops,10-Wheeler Truck,N3,13806
Goats,2455,livestock,Mini Livestock Truck,N1,2540
Goats,1110,livestock,Mini Livestock Truck,N1,2784
Eggs,709,perishable goods,Refrigerated Van,N1,1781
Fruits,347,crops,Tricycle,L1,574
Corn,1997,crops,Multicab,N1,2466
Pigs,5078,livestock,Heavy Livestock Trailer,N3,13040
Cows,1820,livestock,Mini Livestock Truck,N1,2189
Eggs,1273,perishable goods,Refrigerated Van,N1,1795
Chickens,1197,livestock,Mini Livestock Truck,N1,1988
Meat,1906,perishable goods,Refrigerated Truck,N2,3711
Chickens,1061,livestock,Mini Livestock Truck,N1,1530
