Product Type,Product Weight (kg),Purpose,Vehicle Type,Vehicle Category,maxWeightCapacity
Leafy Greens,2570,livestock,Mini Livestock Truck,N1,1539
Pigs,2453,crops,Pickup Truck,N1,1044
Frozen Fish,2461,crops,Multicab,N1,1480
Corn,5313,perishable crops,Refrigerated Truck,N2,9143
Goats,14260,livestock,Heavy Livestock Trailer,N3,14986
Cows,15738,crops,Container Truck,N3,18065
Pigs,15750,crops,Container Truck,N3,19974
Goats,4693,crops,Elf Truck,N2,5521
Cows,211,crops,Tricycle,L,420
Meat,1528,livestock,Mini Livestock Truck,N1,2284
Eggs,16882,crops,10-Wheeler Truck,N3,13201
Vegetables,16017,crops,Container Truck,N3,18473
Corn,10747,perishable crops,Refrigerated Truck,N2,11230
Frozen Fish,17561,livestock,Heavy Livestock Trailer,N3,16835
Meat,10740,crops,Elf Truck,N2,5314
Cows,4581,perishable crops,Refrigerated Truck,N2,6323
Frozen Fish,17697,crops,10-Wheeler Truck,N3,13208
Rice,8797,perishable crops,Refrigerated Truck,N2,8658
Leafy Greens,16731,crops,Container Truck,N3,15311
Fruits,5690,perishable crops,Refrigerated Truck,N2,6716
Fruits,2609,livestock,Mini Livestock Truck,N1,3439
Chickens,6968,livestock,Livestock Truck,N2,11232
Rice,3131,crops,Delivery Van,N1,1677
Meat,1069,crops,Pickup Truck,N1,1156
Meat,3918,perishable crops,Refrigerated Truck,N2,10795
Chickens,11042,livestock,Livestock Truck,N2,9984
Fruits,7693,livestock,Livestock Truck,N2,10786
Leafy Greens,17066,crops,10-Wheeler Truck,N3,14544
Corn,10482,crops,Elf Truck,N2,7155
Fruits,589,crops,Tricycle,L,209
Vegetables,7545,livestock,Livestock Truck,N2,6623
Chickens,8818,perishable crops,Refrigerated Truck,N2,11580
Pigs,7068,perishable crops,Refrigerated Truck,N2,8183
Goats,15031,livestock,Heavy Livestock Trailer,N3,14352
Fruits,2986,crops,Multicab,N1,1359
Goats,9839,livestock,Livestock Truck,N2,11093
Leafy Greens,11572,crops,Elf Truck,N2,7429
Leafy Greens,7141,livestock,Livestock Truck,N2,10662
Chickens,9317,crops,Elf Truck,N2,4512
Meat,1987,livestock,Mini Livestock Truck,N1,1595
Cows,577,crops,Motorcycle with Sidecar,L,394
Eggs,9474,perishable crops,Refrigerated Truck,N2,8343
Cows,13047,crops,Container Truck,N3,18424
Pigs,15292,livestock,Heavy Livestock Trailer,N3,14259
Corn,13541,crops,Container Truck,N3,15865
Meat,5618,livestock,Livestock Truck,N2,8328
Corn,2855,crops,Multicab,N1,1277
Cows,7253,crops,Elf Truck,N2,6410
Leafy Greens,7378,perishable crops,Refrigerated Truck,N2,9533
Eggs,4825,crops,Elf Truck,N2,4950
Chickens,12833,livestock,Heavy Livestock Trailer,N3,17942
Cows,14147,crops,Container Truck,N3,16115
Frozen Fish,2545,perishable crops,Refrigerated Van,N1,2038
Cows,11157,livestock,Livestock Truck,N2,8925
Chickens,5150,livestock,Livestock Truck,N2,10135
Cows,848,perishable crops,Refrigerated Van,N1,2303
Pigs,2409,crops,Open Truck,N1,1934
Goats,15164,livestock,Heavy Livestock Trailer,N3,14321
Meat,6927,livestock,Livestock Truck,N2,9190
Meat,4924,livestock,Livestock Truck,N2,5688
Chickens,5782,livestock,Livestock Truck,N2,5757
Eggs,13070,livestock,Heavy Livestock Trailer,N3,14053
Frozen Fish,5686,livestock,Livestock Truck,N2,6685
Meat,12790,crops,10-Wheeler Truck,N3,14525
Fruits,8954,livestock,Livestock Truck,N2,5420
Frozen Fish,17217,crops,10-Wheeler Truck,N3,14897
Pigs,10036,crops,Elf Truck,N2,4613
Frozen Fish,8484,crops,Elf Truck,N2,7481
Eggs,11460,livestock,Livestock Truck,N2,10215
Vegetables,10014,crops,Elf Truck,N2,4265
Vegetables,6549,livestock,Livestock Truck,N2,11721
Cows,12573,livestock,Heavy Livestock Trailer,N3,17552
Leafy Greens,305,crops,Motorcycle with Sidecar,L,307
Frozen Fish,16533,crops,10-Wheeler Truck,N3,14539
Chickens,9216,livestock,Livestock Truck,N2,6782
Leafy Greens,2727,perishable crops,Refrigerated Van,N1,2968
Chickens,5072,perishable crops,Refrigerated Truck,N2,7335
Corn,16846,crops,Container Truck,N3,16730
Pigs,2057,livestock,Mini Livestock Truck,N1,2236
Chickens,7383,livestock,Livestock Truck,N2,8256
Meat,5696,crops,Elf Truck,N2,7897
Eggs,11526,perishable crops,Refrigerated Truck,N2,9870
Goats,412,crops,Tricycle,L,552
Fruits,4033,perishable crops,Refrigerated Truck,N2,9651
Leafy Greens,4891,livestock,Livestock Truck,N2,5646
Goats,16918,crops,Container Truck,N3,18033
Vegetables,3863,livestock,Livestock Truck,N2,10280
Leafy Greens,9286,livestock,Livestock Truck,N2,9797
Chickens,14461,livestock,Heavy Livestock Trailer,N3,17626
Leafy Greens,8857,crops,Elf Truck,N2,5543
Meat,6984,crops,Elf Truck,N2,7515
Vegetables,5181,crops,Elf Truck,N2,4247
Vegetables,13947,livestock,Heavy Livestock Trailer,N3,15215
Pigs,16572,crops,Container Truck,N3,16514
Vegetables,14600,crops,Container Truck,N3,19071
Vegetables,9669,crops,Elf Truck,N2,6458
Fruits,16779,livestock,Heavy Livestock Trailer,N3,15567
Vegetables,14869,crops,10-Wheeler Truck,N3,14982
Rice,6917,crops,Elf Truck,N2,5233
Chickens,16771,crops,Container Truck,N3,17852
Leafy Greens,16171,livestock,Heavy Livestock Trailer,N3,16363
Frozen Fish,1153,perishable crops,Refrigerated Van,N1,1825
Rice,5040,perishable crops,Refrigerated Truck,N2,8254
Chickens,201,crops,Tricycle,L,211
Leafy Greens,17267,crops,Container Truck,N3,15068
Meat,5171,perishable crops,Refrigerated Truck,N2,10488
Rice,10416,perishable crops,Refrigerated Truck,N2,8984
Frozen Fish,15537,livestock,Heavy Livestock Trailer,N3,15243
Leafy Greens,3206,crops,Multicab,N1,1430
Goats,12684,crops,Container Truck,N3,15995
Corn,9029,livestock,Livestock Truck,N2,8033
Eggs,16221,crops,Container Truck,N3,18964
Eggs,286,crops,Motorcycle with Sidecar,L,492
Eggs,9756,livestock,Livestock Truck,N2,5819
Meat,506,crops,Tricycle,L,345
Vegetables,8583,livestock,Livestock Truck,N2,5373
Goats,470,crops,Motorcycle with Sidecar,L,410
Pigs,6179,perishable crops,Refrigerated Truck,N2,7360
Meat,2518,livestock,Mini Livestock Truck,N1,3248
Corn,16353,livestock,Heavy Livestock Trailer,N3,17764
Chickens,16830,livestock,Heavy Livestock Trailer,N3,17599
Goats,8794,crops,Elf Truck,N2,5963
Frozen Fish,10584,crops,Elf Truck,N2,4225
Rice,17442,livestock,Heavy Livestock Trailer,N3,14214
Chickens,14890,crops,10-Wheeler Truck,N3,13693
Leafy Greens,15415,livestock,Heavy Livestock Trailer,N3,16584
Pigs,8837,crops,Elf Truck,N2,7637
Leafy Greens,8111,perishable crops,Refrigerated Truck,N2,6521
Corn,4165,perishable crops,Refrigerated Truck,N2,11109
Leafy Greens,2811,crops,Pickup Truck,N1,1006
Goats,1720,crops,Multicab,N1,1068
Cows,3751,livestock,Livestock Truck,N2,10185
Fruits,2971,crops,Open Truck,N1,1578
Chickens,8582,livestock,Livestock Truck,N2,9121
Chickens,6349,perishable crops,Refrigerated Truck,N2,10894
Fruits,15274,livestock,Heavy Livestock Trailer,N3,15189
Eggs,1362,crops,Pickup Truck,N1,1512
Rice,17621,livestock,Heavy Livestock Trailer,N3,14477
Eggs,3120,crops,Delivery Van,N1,2381
Vegetables,17968,crops,Container Truck,N3,15287
Meat,8093,livestock,Livestock Truck,N2,8660
Chickens,1508,livestock,Mini Livestock Truck,N1,1815
Frozen Fish,8616,livestock,Livestock Truck,N2,11302
Rice,7969,crops,Elf Truck,N2,6298
Rice,17172,crops,Container Truck,N3,16223
Leafy Greens,6641,livestock,Livestock Truck,N2,11646
Vegetables,6566,livestock,Livestock Truck,N2,7536
Corn,9043,crops,Elf Truck,N2,7844
Frozen Fish,6225,crops,Elf Truck,N2,6420
Leafy Greens,6439,crops,Elf Truck,N2,7090
Cows,1101,livestock,Mini Livestock Truck,N1,2750
Meat,6406,crops,Elf Truck,N2,7424
Corn,10314,crops,Elf Truck,N2,5936
Fruits,7333,livestock,Livestock Truck,N2,5820
Leafy Greens,14879,livestock,Heavy Livestock Trailer,N3,17251
Meat,7926,livestock,Livestock Truck,N2,5278
Chickens,6417,livestock,Livestock Truck,N2,11065
Rice,17953,livestock,Heavy Livestock Trailer,N3,16168
Pigs,6064,perishable crops,Refrigerated Truck,N2,8415
Fruits,14028,livestock,Heavy Livestock Trailer,N3,14128
Leafy Greens,2240,crops,Open Truck,N1,2550
Vegetables,15573,crops,10-Wheeler Truck,N3,14751
Goats,15341,livestock,Heavy Livestock Trailer,N3,16719
Goats,14529,crops,10-Wheeler Truck,N3,13404
Eggs,9940,livestock,Livestock Truck,N2,11543
Leafy Greens,13430,crops,10-Wheeler Truck,N3,13939
Rice,4647,perishable crops,Refrigerated Truck,N2,10749
Corn,1786,livestock,Mini Livestock Truck,N1,3471
Frozen Fish,12637,livestock,Heavy Livestock Trailer,N3,14641
Cows,17647,crops,10-Wheeler Truck,N3,14928
Rice,8371,livestock,Livestock Truck,N2,8511
Chickens,2982,perishable crops,Refrigerated Van,N1,2305
Frozen Fish,12428,crops,Container Truck,N3,15149
Chickens,4356,crops,Elf Truck,N2,7190
Meat,4187,crops,Elf Truck,N2,4062
Corn,13328,livestock,Heavy Livestock Trailer,N3,16562
Chickens,15979,livestock,Heavy Livestock Trailer,N3,16847
Frozen Fish,13575,crops,Container Truck,N3,18355
Fruits,7763,livestock,Livestock Truck,N2,6541
Chickens,2325,crops,Pickup Truck,N1,1776
Pigs,9637,perishable crops,Refrigerated Truck,N2,6300
Cows,6805,crops,Elf Truck,N2,5352
Leafy Greens,6279,livestock,Livestock Truck,N2,10326
Cows,10999,crops,Elf Truck,N2,5666
Cows,844,crops,Multicab,N1,895
Cows,8810,crops,Elf Truck,N2,4518
Goats,4976,crops,Elf Truck,N2,5322
Rice,4681,crops,Elf Truck,N2,6603
Corn,14623,crops,Container Truck,N3,17534
Goats,10262,perishable crops,Refrigerated Truck,N2,7470
Rice,11428,livestock,Livestock Truck,N2,5425
Chickens,8220,crops,Elf Truck,N2,4617
Meat,1875,crops,Open Truck,N1,2252
Cows,2014,crops,Delivery Van,N1,1262
Cows,2929,crops,Open Truck,N1,2355
Eggs,15220,crops,10-Wheeler Truck,N3,14742
Corn,433,crops,Motorcycle with Sidecar,L,542
Chickens,12798,livestock,Heavy Livestock Trailer,N3,16571
Rice,8669,perishable crops,Refrigerated Truck,N2,10669
Corn,2517,perishable crops,Refrigerated Van,N1,2237
Eggs,13136,crops,Container Truck,N3,16600
Corn,2005,crops,Pickup Truck,N1,1406
Chickens,8555,livestock,Livestock Truck,N2,11840
Vegetables,10300,perishable crops,Refrigerated Truck,N2,9122
Eggs,11911,crops,Elf Truck,N2,7133
Frozen Fish,11945,crops,Elf Truck,N2,7858
Goats,12636,livestock,Heavy Livestock Trailer,N3,17043
Eggs,897,crops,Delivery Van,N1,2425
Eggs,15978,crops,10-Wheeler Truck,N3,14711
Corn,10319,livestock,Livestock Truck,N2,7683
Leafy Greens,3221,crops,Delivery Van,N1,1675
Cows,9347,livestock,Livestock Truck,N2,7029
Fruits,11096,livestock,Livestock Truck,N2,7012
Meat,13154,crops,Container Truck,N3,16291
Eggs,13380,crops,10-Wheeler Truck,N3,13079
Goats,4177,crops,Elf Truck,N2,7044
Corn,17941,crops,Container Truck,N3,18522
Corn,5539,crops,Elf Truck,N2,6015
Leafy Greens,7111,crops,Elf Truck,N2,4210
Meat,7345,livestock,Livestock Truck,N2,10555
Corn,12023,crops,10-Wheeler Truck,N3,14106
Rice,559,crops,Motorcycle with Sidecar,L,408
Frozen Fish,4862,perishable crops,Refrigerated Truck,N2,10647
Rice,6561,perishable crops,Refrigerated Truck,N2,9430
Frozen Fish,16915,crops,Container Truck,N3,18805
Cows,3289,crops,Delivery Van,N1,2113
Meat,4073,crops,Elf Truck,N2,7875
Cows,4974,livestock,Livestock Truck,N2,11622
Fruits,17483,livestock,Heavy Livestock Trailer,N3,16501
Cows,12135,livestock,Heavy Livestock Trailer,N3,17012
Eggs,12714,crops,Container Truck,N3,16848
Corn,1670,crops,Multicab,N1,1354
Frozen Fish,12669,livestock,Heavy Livestock Trailer,N3,17933
Eggs,14998,crops,10-Wheeler Truck,N3,14905
Vegetables,4312,livestock,Livestock Truck,N2,10527
Cows,1918,crops,Pickup Truck,N1,1653
Leafy Greens,14166,livestock,Heavy Livestock Trailer,N3,16831
Leafy Greens,6388,crops,Elf Truck,N2,4493
Goats,1047,crops,Pickup Truck,N1,1585
Corn,2772,perishable crops,Refrigerated Van,N1,2276
Eggs,17300,crops,10-Wheeler Truck,N3,13032
Goats,7954,livestock,Livestock Truck,N2,10661
Pigs,3383,perishable crops,Refrigerated Van,N1,2221
Meat,6913,perishable crops,Refrigerated Truck,N2,8682
Chickens,6348,crops,Elf Truck,N2,4726
Cows,16046,livestock,Heavy Livestock Trailer,N3,15231
Fruits,1334,crops,Open Truck,N1,2118
Goats,15807,crops,Container Truck,N3,17098
Meat,5278,perishable crops,Refrigerated Truck,N2,7362
Meat,3443,perishable crops,Refrigerated Van,N1,2596
Corn,6465,perishable crops,Refrigerated Truck,N2,11694
Chickens,14914,crops,10-Wheeler Truck,N3,14091
Vegetables,315,crops,Motorcycle with Sidecar,L,334
Chickens,8892,livestock,Livestock Truck,N2,11739
Goats,2725,crops,Open Truck,N1,2834
Pigs,2647,crops,Delivery Van,N1,2115
Leafy Greens,1408,crops,Pickup Truck,N1,1306
Meat,13111,livestock,Heavy Livestock Trailer,N3,15402
Goats,4834,crops,Elf Truck,N2,7522
Meat,12556,crops,10-Wheeler Truck,N3,14358
Corn,8603,livestock,Livestock Truck,N2,9340
Corn,13955,crops,10-Wheeler Truck,N3,14748
Chickens,2842,crops,Multicab,N1,795
Frozen Fish,9719,crops,Elf Truck,N2,5515
Frozen Fish,2161,crops,Multicab,N1,1190
Cows,1640,perishable crops,Refrigerated Van,N1,1900
Rice,13690,crops,Container Truck,N3,17527
Pigs,17289,crops,10-Wheeler Truck,N3,13401
Chickens,4732,perishable crops,Refrigerated Truck,N2,7274
Goats,12051,crops,10-Wheeler Truck,N3,13409
Leafy Greens,7693,perishable crops,Refrigerated Truck,N2,8185
Pigs,180,crops,Motorcycle with Sidecar,L,438
Meat,12052,crops,10-Wheeler Truck,N3,13850
Pigs,12388,livestock,Heavy Livestock Trailer,N3,15351
Leafy Greens,16373,crops,10-Wheeler Truck,N3,14350
Pigs,4378,crops,Elf Truck,N2,4442
Rice,5815,livestock,Livestock Truck,N2,5486
Rice,17441,crops,10-Wheeler Truck,N3,14288
Frozen Fish,12275,crops,10-Wheeler Truck,N3,14708
Meat,14806,crops,10-Wheeler Truck,N3,14354
Rice,12319,crops,Container Truck,N3,19238
Goats,3473,livestock,Mini Livestock Truck,N1,3339
Eggs,12416,livestock,Heavy Livestock Trailer,N3,16342
Cows,7566,crops,Elf Truck,N2,6876
Goats,11289,crops,Elf Truck,N2,7227
Vegetables,15730,livestock,Heavy Livestock Trailer,N3,15556
Vegetables,8096,perishable crops,Refrigerated Truck,N2,10619
Fruits,13415,crops,Container Truck,N3,15225
Leafy Greens,8554,perishable crops,Refrigerated Truck,N2,8100
Corn,7807,crops,Elf Truck,N2,4801
Pigs,13588,crops,10-Wheeler Truck,N3,13865
Meat,16769,crops,Container Truck,N3,16964
Corn,4487,crops,Elf Truck,N2,4366
Meat,4792,perishable crops,Refrigerated Truck,N2,10618
Goats,16338,crops,10-Wheeler Truck,N3,14281
Eggs,4362,perishable crops,Refrigerated Truck,N2,7902
Eggs,13674,crops,10-Wheeler Truck,N3,13600
Chickens,13763,crops,10-Wheeler Truck,N3,14851
Frozen Fish,14423,crops,10-Wheeler Truck,N3,14337
Corn,15815,crops,Container Truck,N3,15816
Fruits,12107,livestock,Heavy Livestock Trailer,N3,14647
Fruits,3087,perishable crops,Refrigerated Van,N1,2177
Rice,16577,crops,Container Truck,N3,17479
Pigs,8981,livestock,Livestock Truck,N2,7405
Fruits,3966,perishable crops,Refrigerated Truck,N2,11485
Chickens,13144,crops,Container Truck,N3,15849
Rice,7415,livestock,Livestock Truck,N2,6142
Fruits,15780,crops,10-Wheeler Truck,N3,14826
Rice,12251,crops,Container Truck,N3,17280
Meat,5806,crops,Elf Truck,N2,6695
Fruits,838,crops,Multicab,N1,797
Leafy Greens,7600,livestock,Livestock Truck,N2,5133
Pigs,336,crops,Motorcycle with Sidecar,L,519
Rice,6912,crops,Elf Truck,N2,5606
Rice,11386,perishable crops,Refrigerated Truck,N2,10631
Pigs,15787,crops,Container Truck,N3,18736
Meat,7867,perishable crops,Refrigerated Truck,N2,10270
Meat,16220,crops,Container Truck,N3,17517
Goats,6735,crops,Elf Truck,N2,5578
Fruits,13558,livestock,Heavy Livestock Trailer,N3,14647
Goats,14491,crops,10-Wheeler Truck,N3,14655
Cows,3281,crops,Open Truck,N1,2186
Fruits,6718,livestock,Livestock Truck,N2,5167
Fruits,13608,crops,Container Truck,N3,16899
Chickens,3968,livestock,Livestock Truck,N2,8928
Pigs,16073,crops,Container Truck,N3,17114
Corn,16989,crops,Container Truck,N3,19551
Goats,15385,livestock,Heavy Livestock Trailer,N3,14668
Goats,2587,crops,Pickup Truck,N1,1167
Eggs,7487,livestock,Livestock Truck,N2,5360
Chickens,7936,perishable crops,Refrigerated Truck,N2,9689
Meat,8206,livestock,Livestock Truck,N2,8182
Eggs,16216,crops,Container Truck,N3,18049
Chickens,7825,livestock,Livestock Truck,N2,9963
Eggs,8899,crops,Elf Truck,N2,7247
Cows,9765,perishable crops,Refrigerated Truck,N2,6496
Leafy Greens,17852,livestock,Heavy Livestock Trailer,N3,15192
Meat,8507,crops,Elf Truck,N2,6928
Corn,9896,crops,Elf Truck,N2,5991
Frozen Fish,2924,crops,Delivery Van,N1,2110
Goats,175,crops,Motorcycle with Sidecar,L,423
Leafy Greens,9563,perishable crops,Refrigerated Truck,N2,11322
Leafy Greens,10598,crops,Elf Truck,N2,5564
Fruits,17297,crops,10-Wheeler Truck,N3,13047
Goats,6237,crops,Elf Truck,N2,6592
Fruits,4406,perishable crops,Refrigerated Truck,N2,7045
Rice,4766,perishable crops,Refrigerated Truck,N2,11490
Rice,6799,crops,Elf Truck,N2,5944
Fruits,14486,livestock,Heavy Livestock Trailer,N3,15520
Chickens,16249,crops,Container Truck,N3,19467
Meat,2752,livestock,Mini Livestock Truck,N1,3052
Meat,3970,crops,Elf Truck,N2,5423
Chickens,716,perishable crops,Refrigerated Van,N1,1986
Eggs,5326,livestock,Livestock Truck,N2,7362
Rice,1826,livestock,Mini Livestock Truck,N1,1133
Eggs,8060,crops,Elf Truck,N2,6662
Chickens,15048,crops,Container Truck,N3,19992
Cows,3361,crops,Delivery Van,N1,1330
Frozen Fish,5197,perishable crops,Refrigerated Truck,N2,8773
Frozen Fish,2327,livestock,Mini Livestock Truck,N1,1202
Vegetables,2688,perishable crops,Refrigerated Van,N1,2204
Vegetables,6093,livestock,Livestock Truck,N2,11813
Eggs,12901,crops,10-Wheeler Truck,N3,14909
Leafy Greens,9382,crops,Elf Truck,N2,5300
Cows,16787,livestock,Heavy Livestock Trailer,N3,16005
Eggs,311,crops,Motorcycle with Sidecar,L,383
Rice,5265,crops,Elf Truck,N2,4097
Rice,15207,livestock,Heavy Livestock Trailer,N3,15257
Cows,8024,perishable crops,Refrigerated Truck,N2,6178
Rice,17862,livestock,Heavy Livestock Trailer,N3,15118
Pigs,9240,crops,Elf Truck,N2,7175
Eggs,6195,livestock,Livestock Truck,N2,11964
Fruits,415,crops,Tricycle,L,200
Goats,1291,crops,Delivery Van,N1,2529
Vegetables,6183,livestock,Livestock Truck,N2,5416
Corn,14810,crops,10-Wheeler Truck,N3,13732
Corn,17234,livestock,Heavy Livestock Trailer,N3,15309
Meat,11061,livestock,Livestock Truck,N2,6083
Pigs,7825,livestock,Livestock Truck,N2,8698
Leafy Greens,6588,livestock,Livestock Truck,N2,8385
Leafy Greens,4390,livestock,Livestock Truck,N2,10638
Leafy Greens,2881,crops,Delivery Van,N1,1303
Meat,13024,livestock,Heavy Livestock Trailer,N3,15203
Chickens,6650,livestock,Livestock Truck,N2,9501
Meat,1694,perishable crops,Refrigerated Van,N1,2839
Cows,17922,crops,Container Truck,N3,15211
Goats,13620,crops,10-Wheeler Truck,N3,14295
Goats,8801,livestock,Livestock Truck,N2,9852
Vegetables,2365,crops,Pickup Truck,N1,1362
Corn,9331,perishable crops,Refrigerated Truck,N2,11370
Corn,16189,livestock,Heavy Livestock Trailer,N3,15210
Leafy Greens,4900,perishable crops,Refrigerated Truck,N2,11302
Frozen Fish,12868,crops,10-Wheeler Truck,N3,13251
Rice,17416,livestock,Heavy Livestock Trailer,N3,14439
Eggs,16948,livestock,Heavy Livestock Trailer,N3,16986
Corn,11886,crops,Elf Truck,N2,7871
Pigs,9240,perishable crops,Refrigerated Truck,N2,6162
Rice,1410,crops,Delivery Van,N1,1323
Chickens,10060,livestock,Livestock Truck,N2,6268
Rice,5180,perishable crops,Refrigerated Truck,N2,8586
Chickens,117,crops,Tricycle,L,405
Frozen Fish,13570,crops,Container Truck,N3,19361
Cows,7648,livestock,Livestock Truck,N2,5262
Rice,4103,livestock,Livestock Truck,N2,8607
Cows,5050,crops,Elf Truck,N2,5217
Leafy Greens,1056,livestock,Mini Livestock Truck,N1,1949
Chickens,8625,crops,Elf Truck,N2,6796
Corn,13530,crops,10-Wheeler Truck,N3,13703
Corn,17697,livestock,Heavy Livestock Trailer,N3,15386
Goats,13953,livestock,Heavy Livestock Trailer,N3,14502
Chickens,14843,crops,10-Wheeler Truck,N3,14126
Corn,3130,perishable crops,Refrigerated Van,N1,2638
Chickens,10593,crops,Elf Truck,N2,6961
Eggs,12589,crops,10-Wheeler Truck,N3,14196
Pigs,7684,perishable crops,Refrigerated Truck,N2,10268
Eggs,15506,livestock,Heavy Livestock Trailer,N3,17398
Corn,16218,crops,10-Wheeler Truck,N3,14750
Vegetables,15842,livestock,Heavy Livestock Trailer,N3,16804
Eggs,2616,livestock,Mini Livestock Truck,N1,2015
Leafy Greens,5306,perishable crops,Refrigerated Truck,N2,11633
Eggs,6024,livestock,Livestock Truck,N2,11710
Meat,17978,crops,Container Truck,N3,15123
Corn,2902,perishable crops,Refrigerated Van,N1,2953
Fruits,9371,perishable crops,Refrigerated Truck,N2,8652
Corn,13787,livestock,Heavy Livestock Trailer,N3,16558
Eggs,9749,livestock,Livestock Truck,N2,5758
Corn,8689,livestock,Livestock Truck,N2,6650
Pigs,17428,crops,Container Truck,N3,15926
Leafy Greens,4970,perishable crops,Refrigerated Truck,N2,9483
Goats,5371,livestock,Livestock Truck,N2,10429
Frozen Fish,14483,crops,10-Wheeler Truck,N3,14807
Pigs,4186,perishable crops,Refrigerated Truck,N2,10016
Corn,16931,crops,10-Wheeler Truck,N3,14927
Frozen Fish,16560,crops,10-Wheeler Truck,N3,13614
Chickens,14392,crops,Container Truck,N3,17223
Rice,14776,livestock,Heavy Livestock Trailer,N3,17470
Goats,4164,crops,Elf Truck,N2,5285
Chickens,1097,livestock,Mini Livestock Truck,N1,3373
Rice,17693,crops,10-Wheeler Truck,N3,13416
Fruits,6530,crops,Elf Truck,N2,7922
Rice,17676,livestock,Heavy Livestock Trailer,N3,17013
Pigs,1335,perishable crops,Refrigerated Van,N1,1508
Frozen Fish,2073,crops,Delivery Van,N1,2163
Eggs,10134,perishable crops,Refrigerated Truck,N2,6634
Pigs,3028,crops,Multicab,N1,1441
Vegetables,13150,livestock,Heavy Livestock Trailer,N3,17957
Chickens,729,livestock,Mini Livestock Truck,N1,2451
Frozen Fish,3515,livestock,Livestock Truck,N2,11192
Vegetables,9038,livestock,Livestock Truck,N2,7677
Fruits,3097,livestock,Mini Livestock Truck,N1,3192
Eggs,2897,crops,Open Truck,N1,2086
Vegetables,8008,livestock,Livestock Truck,N2,10729
Goats,3971,crops,Elf Truck,N2,4135
Goats,11339,crops,Elf Truck,N2,6942
Eggs,15610,crops,Container Truck,N3,17389
Fruits,11784,perishable crops,Refrigerated Truck,N2,11635
Corn,15661,crops,10-Wheeler Truck,N3,13606
Pigs,4629,livestock,Livestock Truck,N2,9006
Cows,4146,crops,Elf Truck,N2,7521
Eggs,17589,livestock,Heavy Livestock Trailer,N3,16372
Chickens,9566,crops,Elf Truck,N2,7933
Meat,7415,livestock,Livestock Truck,N2,6106
Chickens,13680,crops,Container Truck,N3,17261
Corn,7083,livestock,Livestock Truck,N2,9532
Fruits,4967,livestock,Livestock Truck,N2,5491
Frozen Fish,9493,crops,Elf Truck,N2,6939
Cows,363,crops,Tricycle,L,468
Cows,5012,livestock,Livestock Truck,N2,11583
Eggs,17152,crops,Container Truck,N3,19750
Frozen Fish,11454,perishable crops,Refrigerated Truck,N2,8810
Leafy Greens,17751,livestock,Heavy Livestock Trailer,N3,15100
