Product Type,Product Weight (kg),Purpose,Vehicle Type,Vehicle Category,maxWeightCapacity
Fruits,1420,crops,Multicab,N1,2904
Pigs,992,livestock,Mini Livestock Truck,N1,1461
Cows,1758,livestock,Mini Livestock Truck,N1,2740
Rice,806,crops,Tricycle,L1,1291
Meat,1510,perishable crops,Refrigerated Van,N1,2431
Corn,164,crops,Tricycle,L1,944
Eggs,5450,perishable crops,Refrigerated Truck,N2,5624
Frozen Fish,582,perishable crops,Refrigerated Van,N1,2593
Rice,1110,crops,Multicab,N1,1889
Goats,271,livestock,Mini Livestock Truck,N1,1247
Chickens,671,livestock,Mini Livestock Truck,N1,2194
Fruits,869,crops,Tricycle,L1,1240
Goats,2433,livestock,Mini Livestock Truck,N1,6174
Pigs,1004,livestock,Mini Livestock Truck,N1,1468
Chickens,530,livestock,Mini Livestock Truck,N1,1796
Eggs,3808,perishable crops,Refrigerated Truck,N2,6662
Cows,446,livestock,Mini Livestock Truck,N1,2708
Meat,603,perishable crops,Refrigerated Van,N1,1166
Rice,13292,crops,10-Wheeler Truck,N3,19795
Chickens,1326,livestock,Mini Livestock Truck,N1,2006
Cows,2865,livestock,Mini Livestock Truck,N1,2983
Goats,7717,livestock,Livestock Truck,N2,18015
Goats,657,livestock,Mini Livestock Truck,N1,2798
Fruits,162,crops,Tricycle,L1,834
Frozen Fish,668,perishable crops,Refrigerated Van,N1,4374
Chickens,2155,livestock,Mini Livestock Truck,N1,19301
Fruits,496,crops,Tricycle,L1,1083
Meat,915,perishable crops,Refrigerated Van,N1,3452
Vegetables,2625,crops,Multicab,N1,3755
Pigs,1069,livestock,Mini Livestock Truck,N1,18333
Pigs,662,livestock,Mini Livestock Truck,N1,1884
Chickens,1697,livestock,Mini Livestock Truck,N1,2182
Pigs,380,livestock,Mini Livestock Truck,N1,16755
Chickens,108,livestock,Mini Livestock Truck,N1,2390
Frozen Fish,7012,perishable crops,Refrigerated Truck,N2,7913
Chickens,3860,livestock,Livestock Truck,N2,17083
Frozen Fish,877,perishable crops,Refrigerated Van,N1,1925
Pigs,2384,livestock,Mini Livestock Truck,N1,16776
Fruits,1287,crops,Multicab,N1,2011
Cows,1441,livestock,Mini Livestock Truck,N1,3007
Vegetables,210,crops,Tricycle,L1,727
Corn,5309,crops,Elf Truck,N2,11147
Corn,2251,crops,Multicab,N1,3070
Leafy Greens,3395,perishable crops,Refrigerated Van,N1,3665
Corn,141,crops,Tricycle,L1,638
Cows,3903,livestock,Livestock Truck,N2,17201
Eggs,4905,perishable crops,Refrigerated Truck,N2,8450
Chickens,822,livestock,Mini Livestock Truck,N1,1785
Rice,8517,crops,Elf Truck,N2,10510
Corn,6643,crops,Elf Truck,N2,6678
Rice,685,crops,Tricycle,L1,837
Cows,2742,livestock,Mini Livestock Truck,N1,2908
Eggs,264,perishable crops,Refrigerated Van,N1,1196
Pigs,6541,livestock,Livestock Truck,N2,8399
Rice,1820,crops,Multicab,N1,2173
Corn,479,crops,Tricycle,L1,1101
Pigs,4472,livestock,Livestock Truck,N2,5923
Fruits,2342,crops,Multicab,N1,3181
Vegetables,1673,crops,Multicab,N1,2338
Corn,454,crops,Tricycle,L1,982
Frozen Fish,5736,perishable crops,Refrigerated Truck,N2,9764
Meat,529,perishable crops,Refrigerated Van,N1,1075
Eggs,1489,perishable crops,Refrigerated Van,N1,1895
Fruits,7746,crops,Elf Truck,N2,11333
Corn,574,crops,Tricycle,L1,659
Chickens,3185,livestock,Mini Livestock Truck,N1,12185
Leafy Greens,482,perishable crops,Refrigerated Van,N1,1554
Pigs,1100,livestock,Mini Livestock Truck,N1,1172
Cows,1531,livestock,Mini Livestock Truck,N1,2940
Corn,5103,crops,Elf Truck,N2,10987
Leafy Greens,8433,perishable crops,Refrigerated Truck,N2,11166
Meat,131,perishable crops,Refrigerated Van,N1,7974
Chickens,635,livestock,Mini Livestock Truck,N1,1023
Pigs,2150,livestock,Mini Livestock Truck,N1,10398
Pigs,1362,livestock,Mini Livestock Truck,N1,1774
Pigs,1824,livestock,Mini Livestock Truck,N1,15454
Goats,5215,livestock,Livestock Truck,N2,6314
Fruits,660,crops,Tricycle,L1,1169
Frozen Fish,2530,perishable crops,Refrigerated Van,N1,6444
Goats,5608,livestock,Livestock Truck,N2,8613
Chickens,119,livestock,Mini Livestock Truck,N1,3291
Chickens,1517,livestock,Mini Livestock Truck,N1,2684
Pigs,1715,livestock,Mini Livestock Truck,N1,5298
Chickens,10365,livestock,Livestock Truck,N2,16826
Leafy Greens,391,perishable crops,Refrigerated Van,N1,1502
Chickens,830,livestock,Mini Livestock Truck,N1,1580
Corn,1938,crops,Multicab,N1,3255
Cows,3348,livestock,Mini Livestock Truck,N1,12169
Rice,190,crops,Tricycle,L1,331
Frozen Fish,1288,perishable crops,Refrigerated Van,N1,2278
Goats,1887,livestock,Mini Livestock Truck,N1,7227
Pigs,987,livestock,Mini Livestock Truck,N1,14544
Cows,2327,livestock,Mini Livestock Truck,N1,11747
Rice,205,crops,Tricycle,L1,217
Fruits,1184,crops,Multicab,N1,2285
Meat,4308,perishable crops,Refrigerated Truck,N2,4807
Pigs,4586,livestock,Livestock Truck,N2,12455
Leafy Greens,1951,perishable crops,Refrigerated Van,N1,11468
Fruits,2139,crops,Multicab,N1,2182
Rice,1816,crops,Multicab,N1,3162
Cows,6752,livestock,Livestock Truck,N2,8366
Corn,1918,crops,Multicab,N1,8621
Corn,7563,crops,Elf Truck,N2,11038
Frozen Fish,2679,perishable crops,Refrigerated Van,N1,5742
Vegetables,275,crops,Tricycle,L1,1322
Meat,784,perishable crops,Refrigerated Van,N1,1687
Meat,2171,perishable crops,Refrigerated Van,N1,3548
Meat,753,perishable crops,Refrigerated Van,N1,1137
Meat,3362,perishable crops,Refrigerated Van,N1,6146
Goats,405,livestock,Mini Livestock Truck,N1,2116
Meat,2911,perishable crops,Refrigerated Van,N1,4820
Frozen Fish,383,perishable crops,Refrigerated Van,N1,2814
Eggs,136,perishable crops,Refrigerated Van,N1,3272
Eggs,3216,perishable crops,Refrigerated Van,N1,11431
Cows,279,livestock,Mini Livestock Truck,N1,5120
Eggs,1418,perishable crops,Refrigerated Van,N1,1436
Corn,5639,crops,Elf Truck,N2,6204
Corn,5568,crops,Elf Truck,N2,5754
Corn,357,crops,Tricycle,L1,791
Meat,2025,perishable crops,Refrigerated Van,N1,3108
Vegetables,6018,crops,Elf Truck,N2,19480
Eggs,784,perishable crops,Refrigerated Van,N1,2269
Rice,1446,crops,Multicab,N1,2322
Cows,2021,livestock,Mini Livestock Truck,N1,3644
Leafy Greens,309,perishable crops,Refrigerated Van,N1,1899
Vegetables,380,crops,Tricycle,L1,656
Pigs,3120,livestock,Mini Livestock Truck,N1,3645
Vegetables,327,crops,Tricycle,L1,508
Rice,150,crops,Tricycle,L1,173
Rice,460,crops,Tricycle,L1,749
Goats,1120,livestock,Mini Livestock Truck,N1,2797
Fruits,5933,crops,Elf Truck,N2,9134
Eggs,6685,perishable crops,Refrigerated Truck,N2,7966
Meat,11059,perishable crops,Refrigerated Truck,N2,11560
Goats,1759,livestock,Mini Livestock Truck,N1,11786
Fruits,1334,crops,Multicab,N1,1384
Cows,977,livestock,Mini Livestock Truck,N1,2569
Corn,454,crops,Tricycle,L1,2627
Vegetables,627,crops,Tricycle,L1,663
Eggs,1885,perishable crops,Refrigerated Van,N1,5038
Cows,6056,livestock,Livestock Truck,N2,16674
Fruits,1917,crops,Multicab,N1,10609
Cows,2856,livestock,Mini Livestock Truck,N1,14043
Frozen Fish,3394,perishable crops,Refrigerated Van,N1,6416
Goats,2288,livestock,Mini Livestock Truck,N1,2883
Chickens,7472,livestock,Livestock Truck,N2,15209
Frozen Fish,122,perishable crops,Refrigerated Van,N1,1002
Leafy Greens,2761,perishable crops,Refrigerated Van,N1,4525
Cows,8952,livestock,Livestock Truck,N2,16161
Chickens,1048,livestock,Mini Livestock Truck,N1,3070
Pigs,3723,livestock,Livestock Truck,N2,12690
Eggs,1094,perishable crops,Refrigerated Van,N1,2008
Meat,2109,perishable crops,Refrigerated Van,N1,10265
Goats,2637,livestock,Mini Livestock Truck,N1,3766
Rice,191,crops,Tricycle,L1,3103
Rice,8060,crops,Elf Truck,N2,10093
Goats,1915,livestock,Mini Livestock Truck,N1,6624
Pigs,4170,livestock,Livestock Truck,N2,7390
Corn,5495,crops,Elf Truck,N2,8400
Eggs,5895,perishable crops,Refrigerated Truck,N2,6923
Rice,124,crops,Tricycle,L1,2124
Vegetables,2602,crops,Multicab,N1,5556
Corn,230,crops,Tricycle,L1,254
Pigs,462,livestock,Mini Livestock Truck,N1,1287
Fruits,1744,crops,Multicab,N1,2325
Meat,3971,perishable crops,Refrigerated Truck,N2,4145
Corn,2802,crops,Multicab,N1,3153
Corn,9191,crops,Elf Truck,N2,11504
Chickens,2380,livestock,Mini Livestock Truck,N1,2735
Fruits,362,crops,Tricycle,L1,512
Eggs,804,perishable crops,Refrigerated Van,N1,2246
Corn,1984,crops,Multicab,N1,13017
Meat,1661,perishable crops,Refrigerated Van,N1,3259
Pigs,6588,livestock,Livestock Truck,N2,18459
Frozen Fish,994,perishable crops,Refrigerated Van,N1,2504
Chickens,17230,livestock,Heavy Livestock Trailer,N3,18239
Rice,205,crops,Tricycle,L1,2819
Eggs,5187,perishable crops,Refrigerated Truck,N2,8254
Chickens,492,livestock,Mini Livestock Truck,N1,2629
Rice,284,crops,Tricycle,L1,331
Eggs,913,perishable crops,Refrigerated Van,N1,1558
Chickens,962,livestock,Mini Livestock Truck,N1,1171
Pigs,9118,livestock,Livestock Truck,N2,10052
Corn,1198,crops,Multicab,N1,4514
Rice,3004,crops,Multicab,N1,9343
Rice,392,crops,Tricycle,L1,594
Rice,129,crops,Tricycle,L1,1215
Frozen Fish,304,perishable crops,Refrigerated Van,N1,9695
Rice,413,crops,Tricycle,L1,2765
Meat,598,perishable crops,Refrigerated Van,N1,1176
Leafy Greens,2645,perishable crops,Refrigerated Van,N1,11591
Rice,11215,crops,Elf Truck,N2,11431
Cows,1571,livestock,Mini Livestock Truck,N1,2591
Eggs,1499,perishable crops,Refrigerated Van,N1,2194
Rice,4959,crops,Elf Truck,N2,5142
Eggs,1571,perishable crops,Refrigerated Van,N1,3150
Corn,106,crops,Tricycle,L1,107
Meat,133,perishable crops,Refrigerated Van,N1,2570
Leafy Greens,2792,perishable crops,Refrigerated Van,N1,6541
Corn,107,crops,Tricycle,L1,111
Fruits,1403,crops,Multicab,N1,4279
Chickens,2452,livestock,Mini Livestock Truck,N1,2638
Vegetables,4400,crops,Elf Truck,N2,6487
Rice,142,crops,Tricycle,L1,238
Goats,1133,livestock,Mini Livestock Truck,N1,3549
Fruits,222,crops,Tricycle,L1,357
Goats,2061,livestock,Mini Livestock Truck,N1,2963
Meat,1196,perishable crops,Refrigerated Van,N1,5809
Rice,1301,crops,Multicab,N1,2037
Frozen Fish,653,perishable crops,Refrigerated Van,N1,1109
Meat,100,perishable crops,Refrigerated Van,N1,2435
Fruits,113,crops,Tricycle,L1,2944
Vegetables,573,crops,Tricycle,L1,1200
Meat,536,perishable crops,Refrigerated Van,N1,1427
Frozen Fish,2015,perishable crops,Refrigerated Van,N1,2869
Corn,390,crops,Tricycle,L1,1062
Cows,1949,livestock,Mini Livestock Truck,N1,3422
Fruits,8115,crops,Elf Truck,N2,11090
Rice,102,crops,Tricycle,L1,598
Fruits,307,crops,Tricycle,L1,2702
Chickens,7835,livestock,Livestock Truck,N2,16191
Goats,11148,livestock,Heavy Livestock Trailer,N3,15631
Rice,4781,crops,Elf Truck,N2,7030
Eggs,2371,perishable crops,Refrigerated Van,N1,3040
Rice,2472,crops,Multicab,N1,4332
Vegetables,985,crops,Tricycle,L1,1574
Vegetables,4564,crops,Elf Truck,N2,5507
Rice,2212,crops,Multicab,N1,2514
Chickens,8440,livestock,Livestock Truck,N2,16433
Meat,6333,perishable crops,Refrigerated Truck,N2,9138
Goats,2530,livestock,Mini Livestock Truck,N1,3334
Rice,3008,crops,Multicab,N1,3416
Cows,479,livestock,Mini Livestock Truck,N1,1168
Corn,6917,crops,Elf Truck,N2,8962
Frozen Fish,665,perishable crops,Refrigerated Van,N1,4444
Leafy Greens,5738,perishable crops,Refrigerated Truck,N2,10985
Pigs,6979,livestock,Livestock Truck,N2,10260
Vegetables,284,crops,Tricycle,L1,540
Vegetables,1145,crops,Multicab,N1,2215
Goats,1175,livestock,Mini Livestock Truck,N1,2264
Meat,5709,perishable crops,Refrigerated Truck,N2,9017
Meat,191,perishable crops,Refrigerated Van,N1,2079
Rice,8624,crops,Elf Truck,N2,10353
Pigs,680,livestock,Mini Livestock Truck,N1,1116
Cows,4441,livestock,Livestock Truck,N2,5331
Cows,366,livestock,Mini Livestock Truck,N1,1987
Vegetables,797,crops,Tricycle,L1,9338
Corn,4247,crops,Elf Truck,N2,14893
Cows,1762,livestock,Mini Livestock Truck,N1,2967
Leafy Greens,6161,perishable crops,Refrigerated Truck,N2,7233
Meat,1957,perishable crops,Refrigerated Van,N1,2314
Vegetables,998,crops,Tricycle,L1,2092
Vegetables,1372,crops,Multicab,N1,3374
Cows,3180,livestock,Mini Livestock Truck,N1,16552
Goats,992,livestock,Mini Livestock Truck,N1,3427
Pigs,771,livestock,Mini Livestock Truck,N1,2654
Meat,2265,perishable crops,Refrigerated Van,N1,9857
Vegetables,319,crops,Tricycle,L1,361
Pigs,12213,livestock,Heavy Livestock Trailer,N3,15425
Frozen Fish,4325,perishable crops,Refrigerated Truck,N2,8810
Eggs,1134,perishable crops,Refrigerated Van,N1,10600
Meat,809,perishable crops,Refrigerated Van,N1,10095
Leafy Greens,2254,perishable crops,Refrigerated Van,N1,3847
Fruits,369,crops,Tricycle,L1,426
Frozen Fish,5778,perishable crops,Refrigerated Truck,N2,7300
Chickens,14282,livestock,Heavy Livestock Trailer,N3,19826
Corn,2421,crops,Multicab,N1,3122
Pigs,12490,livestock,Heavy Livestock Trailer,N3,19377
Chickens,1100,livestock,Mini Livestock Truck,N1,1284
Rice,209,crops,Tricycle,L1,674
Leafy Greens,2222,perishable crops,Refrigerated Van,N1,11557
Chickens,181,livestock,Mini Livestock Truck,N1,2099
Chickens,1367,livestock,Mini Livestock Truck,N1,1885
Corn,346,crops,Tricycle,L1,351
Frozen Fish,566,perishable crops,Refrigerated Van,N1,1306
Meat,737,perishable crops,Refrigerated Van,N1,7931
Pigs,1264,livestock,Mini Livestock Truck,N1,1492
Chickens,16689,livestock,Heavy Livestock Trailer,N3,18277
Vegetables,1585,crops,Multicab,N1,1991
Cows,690,livestock,Mini Livestock Truck,N1,1227
Corn,2662,crops,Multicab,N1,2978
Pigs,480,livestock,Mini Livestock Truck,N1,1135
Goats,1556,livestock,Mini Livestock Truck,N1,8810
Chickens,6544,livestock,Livestock Truck,N2,12673
Corn,15429,crops,10-Wheeler Truck,N3,19798
Meat,1394,perishable crops,Refrigerated Van,N1,4260
Corn,103,crops,Tricycle,L1,252
Meat,4684,perishable crops,Refrigerated Truck,N2,10423
Meat,921,perishable crops,Refrigerated Van,N1,4152
Meat,4981,perishable crops,Refrigerated Truck,N2,11405
Vegetables,372,crops,Tricycle,L1,454
Fruits,656,crops,Tricycle,L1,867
Corn,223,crops,Tricycle,L1,1213
Eggs,1918,perishable crops,Refrigerated Van,N1,1921
Goats,1830,livestock,Mini Livestock Truck,N1,2101
Cows,5409,livestock,Livestock Truck,N2,7137
Goats,131,livestock,Mini Livestock Truck,N1,2746
Goats,1959,livestock,Mini Livestock Truck,N1,15427
Eggs,5058,perishable crops,Refrigerated Truck,N2,10887
Pigs,6308,livestock,Livestock Truck,N2,6903
Rice,2180,crops,Multicab,N1,3730
Rice,2473,crops,Multicab,N1,2673
Fruits,2023,crops,Multicab,N1,2066
Pigs,19054,livestock,Heavy Livestock Trailer,N3,19216
Corn,920,crops,Tricycle,L1,1580
Corn,13425,crops,10-Wheeler Truck,N3,15850
Vegetables,139,crops,Tricycle,L1,1117
Goats,122,livestock,Mini Livestock Truck,N1,5535
Cows,207,livestock,Mini Livestock Truck,N1,1303
Fruits,162,crops,Tricycle,L1,701
Cows,11125,livestock,Livestock Truck,N2,11732
Vegetables,440,crops,Tricycle,L1,741
Corn,4545,crops,Elf Truck,N2,11007
Cows,9506,livestock,Livestock Truck,N2,13508
Meat,1149,perishable crops,Refrigerated Van,N1,3080
Fruits,771,crops,Tricycle,L1,1966
Frozen Fish,1107,perishable crops,Refrigerated Van,N1,1712
Vegetables,2601,crops,Multicab,N1,3058
Meat,1599,perishable crops,Refrigerated Van,N1,2022
Cows,8614,livestock,Livestock Truck,N2,13802
Frozen Fish,1782,perishable crops,Refrigerated Van,N1,4610
Eggs,1318,perishable crops,Refrigerated Van,N1,2099
Leafy Greens,762,perishable crops,Refrigerated Van,N1,1296
Eggs,1055,perishable crops,Refrigerated Van,N1,9250
Vegetables,11334,crops,10-Wheeler Truck,N3,16691
Meat,446,perishable crops,Refrigerated Van,N1,1266
Pigs,1437,livestock,Mini Livestock Truck,N1,3430
Pigs,3665,livestock,Livestock Truck,N2,3860
Corn,434,crops,Tricycle,L1,923
Cows,1530,livestock,Mini Livestock Truck,N1,3099
Chickens,795,livestock,Mini Livestock Truck,N1,1437
Chickens,1179,livestock,Mini Livestock Truck,N1,1804
Cows,9707,livestock,Livestock Truck,N2,9766
Leafy Greens,818,perishable crops,Refrigerated Van,N1,1028
Eggs,1127,perishable crops,Refrigerated Van,N1,3931
Fruits,134,crops,Tricycle,L1,829
Rice,2384,crops,Multicab,N1,3027
Cows,398,livestock,Mini Livestock Truck,N1,2461
Vegetables,1535,crops,Multicab,N1,2568
Frozen Fish,2292,perishable crops,Refrigerated Van,N1,9949
Rice,957,crops,Tricycle,L1,2415
Eggs,295,perishable crops,Refrigerated Van,N1,9742
Meat,1057,perishable crops,Refrigerated Van,N1,3268
Cows,5534,livestock,Livestock Truck,N2,8561
Eggs,337,perishable crops,Refrigerated Van,N1,1420
Frozen Fish,844,perishable crops,Refrigerated Van,N1,2030
Eggs,1858,perishable crops,Refrigerated Van,N1,5255
Leafy Greens,1174,perishable crops,Refrigerated Van,N1,1599
Chickens,374,livestock,Mini Livestock Truck,N1,2928
Fruits,859,crops,Tricycle,L1,11207
Goats,2913,livestock,Mini Livestock Truck,N1,3337
Goats,2747,livestock,Mini Livestock Truck,N1,3036
Leafy Greens,805,perishable crops,Refrigerated Van,N1,2252
Corn,2355,crops,Multicab,N1,8449
Corn,112,crops,Tricycle,L1,136
Corn,413,crops,Tricycle,L1,959
Corn,1077,crops,Multicab,N1,1226
Leafy Greens,1192,perishable crops,Refrigerated Van,N1,3374
Rice,1090,crops,Multicab,N1,1108
Goats,7196,livestock,Livestock Truck,N2,10191
Goats,3086,livestock,Mini Livestock Truck,N1,6697
Meat,1125,perishable crops,Refrigerated Van,N1,5134
Chickens,9401,livestock,Livestock Truck,N2,16047
Meat,4208,perishable crops,Refrigerated Truck,N2,7870
Chickens,3619,livestock,Livestock Truck,N2,17278
Pigs,541,livestock,Mini Livestock Truck,N1,1211
Frozen Fish,941,perishable crops,Refrigerated Van,N1,7316
Eggs,4224,perishable crops,Refrigerated Truck,N2,9097
Fruits,176,crops,Tricycle,L1,975
Cows,5118,livestock,Livestock Truck,N2,8348
Leafy Greens,10906,perishable crops,Refrigerated Truck,N2,11891
Pigs,3378,livestock,Livestock Truck,N2,11115
Corn,295,crops,Tricycle,L1,1580
Eggs,1031,perishable crops,Refrigerated Van,N1,1893
Rice,1152,crops,Multicab,N1,1343
Meat,176,perishable crops,Refrigerated Van,N1,1597
Cows,2377,livestock,Mini Livestock Truck,N1,17696
Corn,540,crops,Tricycle,L1,1423
Fruits,1665,crops,Multicab,N1,3448
Pigs,2156,livestock,Mini Livestock Truck,N1,2600
Chickens,1741,livestock,Mini Livestock Truck,N1,2130
Leafy Greens,4038,perishable crops,Refrigerated Truck,N2,6645
Cows,7154,livestock,Livestock Truck,N2,7302
Goats,270,livestock,Mini Livestock Truck,N1,2304
Corn,2791,crops,Multicab,N1,3210
Frozen Fish,5265,perishable crops,Refrigerated Truck,N2,8184
Goats,1465,livestock,Mini Livestock Truck,N1,2959
Cows,10977,livestock,Heavy Livestock Trailer,N3,19860
Leafy Greens,3417,perishable crops,Refrigerated Truck,N2,7609
Pigs,1437,livestock,Mini Livestock Truck,N1,2755
Goats,753,livestock,Mini Livestock Truck,N1,2248
Leafy Greens,1026,perishable crops,Refrigerated Van,N1,4112
Rice,984,crops,Tricycle,L1,1399
Goats,2522,livestock,Mini Livestock Truck,N1,7151
Corn,3532,crops,Elf Truck,N2,5799
Vegetables,665,crops,Tricycle,L1,884
Meat,8434,perishable crops,Refrigerated Truck,N2,8863
Vegetables,1074,crops,Multicab,N1,3476
Frozen Fish,2496,perishable crops,Refrigerated Van,N1,2894
Rice,272,crops,Tricycle,L1,674
Pigs,2458,livestock,Mini Livestock Truck,N1,3406
Meat,1251,perishable crops,Refrigerated Van,N1,1488
Pigs,3883,livestock,Livestock Truck,N2,4432
Vegetables,8383,crops,Elf Truck,N2,10377
Chickens,2052,livestock,Mini Livestock Truck,N1,12893
Meat,1753,perishable crops,Refrigerated Van,N1,2533
Meat,4322,perishable crops,Refrigerated Truck,N2,10463
Leafy Greens,1973,perishable crops,Refrigerated Van,N1,2039
Cows,2915,livestock,Mini Livestock Truck,N1,16188
Fruits,551,crops,Tricycle,L1,4185
Meat,2187,perishable crops,Refrigerated Van,N1,11061
Cows,2698,livestock,Mini Livestock Truck,N1,2746
Pigs,634,livestock,Mini Livestock Truck,N1,1725
Pigs,3358,livestock,Mini Livestock Truck,N1,19132
Vegetables,324,crops,Tricycle,L1,2742
Pigs,8000,livestock,Livestock Truck,N2,8767
Chickens,256,livestock,Mini Livestock Truck,N1,2612
Frozen Fish,3670,perishable crops,Refrigerated Truck,N2,4432
Cows,124,livestock,Mini Livestock Truck,N1,4245
Goats,2014,livestock,Mini Livestock Truck,N1,2395
Chickens,1397,livestock,Mini Livestock Truck,N1,1902
Goats,1341,livestock,Mini Livestock Truck,N1,2607
Frozen Fish,4760,perishable crops,Refrigerated Truck,N2,5517
Pigs,1172,livestock,Mini Livestock Truck,N1,2633
Chickens,903,livestock,Mini Livestock Truck,N1,3380
Rice,1040,crops,Multicab,N1,1423
Frozen Fish,953,perishable crops,Refrigerated Van,N1,1250
Rice,3967,crops,Elf Truck,N2,3977
Frozen Fish,2428,perishable crops,Refrigerated Van,N1,3456
Goats,624,livestock,Mini Livestock Truck,N1,2864
Chickens,1562,livestock,Mini Livestock Truck,N1,1582
Leafy Greens,853,perishable crops,Refrigerated Van,N1,5766
Chickens,487,livestock,Mini Livestock Truck,N1,1830
Leafy Greens,7241,perishable crops,Refrigerated Truck,N2,7765
Corn,702,crops,Tricycle,L1,930
Eggs,385,perishable crops,Refrigerated Van,N1,2879
Pigs,3258,livestock,Mini Livestock Truck,N1,11840
Eggs,1991,perishable crops,Refrigerated Van,N1,2078
Corn,111,crops,Tricycle,L1,113
