Product Type,Product Weight (kg),Purpose,Vehicle Type
Vegetables,200,crops,Tricycle
Chickens,1221,livestock,Small Livestock Truck
Vegetables,13860,crops,10 Wheeler Dump Truck
Meat,2711,perishable goods,Small Refrigerated Truck
Vegetables,11300,crops,10 Wheeler Dump Truck
Meat,3041,perishable goods,Medium Refrigerated Truck
Vegetables,4500,crops,Dropside Truck
Cows,5791,livestock,Large Livestock Truck
Fruits,12870,crops,10 Wheeler Dump Truck
Corn,8170,crops,10 Wheeler Cargo Truck
Chickens,1911,livestock,Medium Livestock Truck
Frozen Fish,10651,perishable goods,10 wheeler Reefer Truck
Vegetables,4140,crops,Heavy Duty Pickup Truck
Vegetables,9460,crops,10 Wheeler Cargo Truck
Goats,8151,livestock,10 wheeler Livestock Truck
Frozen Fish,1771,perishable goods,Small Refrigerated Truck
Rice,10180,crops,10 Wheeler Cargo Truck
Eggs,4021,perishable goods,Medium Refrigerated Truck
Fruits,11540,crops,10 Wheeler Dump Truck
Vegetables,3490,crops,Elf Truck
Cows,11461,livestock,10 wheeler Livestock Truck
Corn,8930,crops,10 Wheeler Cargo Truck
Fresh Vegetables,11261,perishable goods,10 wheeler Reefer Truck
Leafy Greens,8501,perishable goods,Large Refrigerated Truck
Eggs,7571,perishable goods,Large Refrigerated Truck
Goats,3821,livestock,Large Livestock Truck
Milk,6681,perishable goods,Large Refrigerated Truck
Fresh Vegetables,10991,perishable goods,10 wheeler Reefer Truck
Frozen Fish,6431,perishable goods,Large Refrigerated Truck
Corn,6390,crops,Dropside Truck
Goats,61,livestock,Small Livestock Truck
Vegetables,8830,crops,10 Wheeler Cargo Truck
Goats,9311,livestock,10 wheeler Livestock Truck
Corn,2050,crops,Large Pickup Truck
Frozen Fish,7931,perishable goods,Large Refrigerated Truck
Meat,10451,perishable goods,10 wheeler Reefer Truck
Goats,2221,livestock,Medium Livestock Truck
Pigs,6511,livestock,Large Livestock Truck
Rice,2640,crops,Elf Truck
Corn,7390,crops,Dropside Truck
Goats,6661,livestock,Large Livestock Truck
Corn,8310,crops,10 Wheeler Cargo Truck
Frozen Fish,4481,perishable goods,Medium Refrigerated Truck
Cows,8641,livestock,10 wheeler Livestock Truck
Eggs,10181,perishable goods,10 wheeler Reefer Truck
Fruits,6190,crops,Dropside Truck
Leafy Greens,5131,perishable goods,Large Refrigerated Truck
Eggs,3171,perishable goods,Medium Refrigerated Truck
Fruits,630,crops,Small Delivery Van
Fruits,2590,crops,Large Pickup Truck
Cows,4451,livestock,Large Livestock Truck
Goats,2331,livestock,Medium Livestock Truck
Fresh Vegetables,1311,perishable goods,Large Refrigerated Van
Meat,9031,perishable goods,10 wheeler Reefer Truck
Eggs,771,perishable goods,Small Refrigerated Van
Eggs,8641,perishable goods,Large Refrigerated Truck
Chickens,8071,livestock,10 wheeler Livestock Truck
Eggs,4421,perishable goods,Medium Refrigerated Truck
Corn,3440,crops,Elf Truck
Rice,1310,crops,Medium Pickup Truck
Vegetables,2040,crops,Large Pickup Truck
Goats,1301,livestock,Small Livestock Truck
Corn,2800,crops,Large Pickup Truck
Corn,10700,crops,10 Wheeler Cargo Truck
Vegetables,4720,crops,Dropside Truck
Goats,91,livestock,Small Livestock Truck
Pigs,9261,livestock,10 wheeler Livestock Truck
Milk,631,perishable goods,Small Refrigerated Van
Rice,11560,crops,10 Wheeler Dump Truck
Eggs,1841,perishable goods,Small Refrigerated Truck
Pigs,2081,livestock,Medium Livestock Truck
Corn,12460,crops,10 Wheeler Dump Truck
Vegetables,10740,crops,10 Wheeler Cargo Truck
Corn,50,crops,Tricycle
Corn,5400,crops,Dropside Truck
Cows,6371,livestock,Large Livestock Truck
Cows,6151,livestock,Large Livestock Truck
Corn,1540,crops,Elf Truck
Fruits,1510,crops,Large Delivery Van
Corn,1250,crops,Medium Pickup Truck
Vegetables,3060,crops,Elf Truck
Frozen Fish,5771,perishable goods,Large Refrigerated Truck
Rice,8940,crops,10 Wheeler Cargo Truck
Fruits,9870,crops,10 Wheeler Cargo Truck
Rice,14340,crops,10 Wheeler Dump Truck
Pigs,4681,livestock,Large Livestock Truck
Eggs,9651,perishable goods,10 wheeler Reefer Truck
Vegetables,5280,crops,Dropside Truck
Corn,970,crops,Small Pickup Truck
Vegetables,790,crops,Small Delivery Van
Pigs,6571,livestock,Large Livestock Truck
Fruits,11030,crops,10 Wheeler Cargo Truck
Corn,11390,crops,10 Wheeler Cargo Truck
Fruits,2810,crops,Large Pickup Truck
Goats,8291,livestock,10 wheeler Livestock Truck
Corn,6970,crops,Dropside Truck
Meat,10921,perishable goods,10 wheeler Reefer Truck
Cows,8621,livestock,10 wheeler Livestock Truck
Pigs,6471,livestock,Large Livestock Truck
Leafy Greens,7921,perishable goods,Large Refrigerated Truck
Cows,10841,livestock,10 wheeler Livestock Truck
Fruits,1530,crops,Large Delivery Van
Rice,13560,crops,10 Wheeler Dump Truck
Corn,5970,crops,Dropside Truck
Vegetables,2730,crops,Elf Truck
Vegetables,8500,crops,10 Wheeler Cargo Truck
Pigs,3151,livestock,Large Livestock Truck
Fruits,11500,crops,10 Wheeler Dump Truck
Vegetables,10060,crops,10 Wheeler Cargo Truck
Fresh Vegetables,541,perishable goods,Small Refrigerated Van
Goats,10801,livestock,10 wheeler Livestock Truck
Meat,8071,perishable goods,Large Refrigerated Truck
Cows,1441,livestock,Small Livestock Truck
Vegetables,9320,crops,10 Wheeler Cargo Truck
Goats,7391,livestock,10 wheeler Livestock Truck
Meat,3191,perishable goods,Medium Refrigerated Truck
Leafy Greens,9711,perishable goods,10 wheeler Reefer Truck
Chickens,7921,livestock,10 wheeler Livestock Truck
Milk,1621,perishable goods,Small Refrigerated Truck
Vegetables,8630,crops,10 Wheeler Cargo Truck
Corn,3440,crops,Heavy Duty Pickup Truck
Frozen Fish,11631,perishable goods,10 wheeler Reefer Truck
Vegetables,14460,crops,10 Wheeler Dump Truck
Fresh Vegetables,8371,perishable goods,Large Refrigerated Truck
Fruits,8530,crops,10 Wheeler Cargo Truck
Rice,8910,crops,Dropside Truck
Eggs,1821,perishable goods,Small Refrigerated Truck
Chickens,9341,livestock,10 wheeler Livestock Truck
Fresh Vegetables,4751,perishable goods,Medium Refrigerated Truck
Cows,6851,livestock,Large Livestock Truck
Fresh Vegetables,1041,perishable goods,Medium Refrigerated Van
Vegetables,2460,crops,Large Pickup Truck
Corn,1070,crops,Small Pickup Truck
Chickens,3841,livestock,Large Livestock Truck
Goats,4131,livestock,Large Livestock Truck
Vegetables,14410,crops,10 Wheeler Dump Truck
Corn,13690,crops,10 Wheeler Dump Truck
Eggs,1971,perishable goods,Small Refrigerated Truck
Chickens,6961,livestock,Large Livestock Truck
Rice,11240,crops,10 Wheeler Cargo Truck
Vegetables,1550,crops,Elf Truck
Rice,4490,crops,Dropside Truck
Corn,1970,crops,Large Pickup Truck
Rice,5990,crops,Dropside Truck
Leafy Greens,511,perishable goods,Small Refrigerated Van
Meat,2411,perishable goods,Small Refrigerated Truck
Eggs,6901,perishable goods,Large Refrigerated Truck
Pigs,3631,livestock,Large Livestock Truck
Eggs,941,perishable goods,Medium Refrigerated Van
Meat,11831,perishable goods,10 wheeler Reefer Truck
Cows,5931,livestock,Large Livestock Truck
Rice,12420,crops,10 Wheeler Dump Truck
Vegetables,8560,crops,10 Wheeler Cargo Truck
Pigs,4511,livestock,Large Livestock Truck
Goats,3371,livestock,Large Livestock Truck
Fresh Vegetables,7151,perishable goods,Large Refrigerated Truck
Corn,14870,crops,10 Wheeler Dump Truck
Vegetables,6950,crops,Dropside Truck
Rice,5390,crops,Dropside Truck
Goats,5881,livestock,Large Livestock Truck
Eggs,1511,perishable goods,Small Refrigerated Truck
Pigs,6111,livestock,Large Livestock Truck
Chickens,6061,livestock,Large Livestock Truck
Corn,12960,crops,10 Wheeler Dump Truck
Eggs,10331,perishable goods,10 wheeler Reefer Truck
Corn,11960,crops,10 Wheeler Cargo Truck
Fruits,8150,crops,Dropside Truck
Chickens,5971,livestock,Large Livestock Truck
Leafy Greens,2121,perishable goods,Small Refrigerated Truck
Cows,9351,livestock,10 wheeler Livestock Truck
Chickens,3011,livestock,Large Livestock Truck
Goats,521,livestock,Small Livestock Truck
Rice,1210,crops,Large Delivery Van
Vegetables,4470,crops,Heavy Duty Pickup Truck
Fruits,12900,crops,10 Wheeler Dump Truck
Corn,9940,crops,10 Wheeler Cargo Truck
Eggs,9921,perishable goods,10 wheeler Reefer Truck
Fruits,2240,crops,Elf Truck
Rice,2670,crops,Large Pickup Truck
Pigs,9641,livestock,10 wheeler Livestock Truck
Vegetables,720,crops,Small Multicab
Pigs,2141,livestock,Medium Livestock Truck
Meat,2891,perishable goods,Small Refrigerated Truck
Cows,7051,livestock,10 wheeler Livestock Truck
Milk,9981,perishable goods,10 wheeler Reefer Truck
Cows,9771,livestock,10 wheeler Livestock Truck
Corn,14280,crops,10 Wheeler Dump Truck
Rice,5810,crops,Dropside Truck
Corn,1980,crops,Large Pickup Truck
Chickens,6391,livestock,Large Livestock Truck
Leafy Greens,5331,perishable goods,Large Refrigerated Truck
Corn,7100,crops,Dropside Truck
Chickens,5241,livestock,Large Livestock Truck
Corn,8450,crops,10 Wheeler Cargo Truck
Frozen Fish,5421,perishable goods,Large Refrigerated Truck
Corn,9800,crops,10 Wheeler Cargo Truck
Pigs,10431,livestock,10 wheeler Livestock Truck
Fresh Vegetables,171,perishable goods,Small Refrigerated Van
Leafy Greens,2071,perishable goods,Small Refrigerated Truck
Cows,201,livestock,Small Livestock Truck
Chickens,6741,livestock,Large Livestock Truck
Fruits,270,crops,Tricycle
Rice,11140,crops,10 Wheeler Dump Truck
Eggs,151,perishable goods,Small Refrigerated Van
Leafy Greens,11981,perishable goods,10 wheeler Reefer Truck
Rice,4100,crops,Heavy Duty Pickup Truck
Meat,9061,perishable goods,10 wheeler Reefer Truck
Rice,10140,crops,10 Wheeler Cargo Truck
Milk,4671,perishable goods,Medium Refrigerated Truck
Milk,10811,perishable goods,10 wheeler Reefer Truck
Cows,9891,livestock,10 wheeler Livestock Truck
Rice,6370,crops,Dropside Truck
Milk,8561,perishable goods,Large Refrigerated Truck
Meat,5411,perishable goods,Large Refrigerated Truck
Cows,8141,livestock,10 wheeler Livestock Truck
Rice,8470,crops,10 Wheeler Cargo Truck
Frozen Fish,5211,perishable goods,Large Refrigerated Truck
Chickens,1871,livestock,Medium Livestock Truck
Rice,3150,crops,Large Pickup Truck
Vegetables,2230,crops,Large Pickup Truck
Chickens,2791,livestock,Medium Livestock Truck
Corn,930,crops,Large Multicab
Fruits,5250,crops,Dropside Truck
Fresh Vegetables,8731,perishable goods,Large Refrigerated Truck
Fruits,11800,crops,10 Wheeler Cargo Truck
Corn,1500,crops,Large Multicab
Corn,1860,crops,Large Delivery Van
Leafy Greens,9531,perishable goods,10 wheeler Reefer Truck
Vegetables,2830,crops,Elf Truck
Rice,10340,crops,10 Wheeler Cargo Truck
Meat,6481,perishable goods,Large Refrigerated Truck
Corn,2480,crops,Elf Truck
Vegetables,4840,crops,Dropside Truck
Corn,1200,crops,Small Pickup Truck
Cows,7901,livestock,10 wheeler Livestock Truck
Fruits,7800,crops,Dropside Truck
Fruits,5190,crops,Dropside Truck
Meat,3581,perishable goods,Medium Refrigerated Truck
Milk,2601,perishable goods,Small Refrigerated Truck
Leafy Greens,7251,perishable goods,Large Refrigerated Truck
Pigs,8781,livestock,10 wheeler Livestock Truck
Fresh Vegetables,10681,perishable goods,10 wheeler Reefer Truck
Rice,14010,crops,10 Wheeler Dump Truck
Pigs,1941,livestock,Medium Livestock Truck
Vegetables,3290,crops,Large Pickup Truck
Rice,6510,crops,Dropside Truck
Rice,10490,crops,10 Wheeler Cargo Truck
Cows,5511,livestock,Large Livestock Truck
Fruits,10660,crops,10 Wheeler Cargo Truck
Rice,15000,crops,10 Wheeler Dump Truck
Frozen Fish,6161,perishable goods,Large Refrigerated Truck
Fruits,14990,crops,10 Wheeler Dump Truck
Rice,8270,crops,Dropside Truck
Fruits,14630,crops,10 Wheeler Dump Truck
Fruits,9190,crops,10 Wheeler Cargo Truck
Corn,1460,crops,Medium Pickup Truck
Meat,9911,perishable goods,10 wheeler Reefer Truck
Meat,11101,perishable goods,10 wheeler Reefer Truck
Leafy Greens,5651,perishable goods,Large Refrigerated Truck
Cows,11941,livestock,10 wheeler Livestock Truck
Cows,8051,livestock,10 wheeler Livestock Truck
Leafy Greens,361,perishable goods,Small Refrigerated Van
Fruits,1630,crops,Large Delivery Van
Frozen Fish,1131,perishable goods,Medium Refrigerated Van
Milk,2881,perishable goods,Small Refrigerated Truck
Fruits,8760,crops,10 Wheeler Cargo Truck
Chickens,4081,livestock,Large Livestock Truck
Vegetables,14580,crops,10 Wheeler Dump Truck
Corn,450,crops,Small Multicab
Eggs,6101,perishable goods,Large Refrigerated Truck
Rice,2080,crops,Large Pickup Truck
Leafy Greens,7281,perishable goods,Large Refrigerated Truck
Pigs,2651,livestock,Medium Livestock Truck
Pigs,11631,livestock,10 wheeler Livestock Truck
Fruits,2620,crops,Elf Truck
Rice,1470,crops,Medium Pickup Truck
Chickens,1281,livestock,Small Livestock Truck
Rice,12090,crops,10 Wheeler Dump Truck
Meat,10981,perishable goods,10 wheeler Reefer Truck
Fresh Vegetables,10001,perishable goods,10 wheeler Reefer Truck
Rice,1950,crops,Large Pickup Truck
Rice,8670,crops,Dropside Truck
Vegetables,14250,crops,10 Wheeler Dump Truck
Fruits,7150,crops,Dropside Truck
Vegetables,13450,crops,10 Wheeler Dump Truck
Corn,8060,crops,Dropside Truck
Frozen Fish,1901,perishable goods,Small Refrigerated Truck
Goats,9651,livestock,10 wheeler Livestock Truck
Cows,7761,livestock,10 wheeler Livestock Truck
Fruits,10810,crops,10 Wheeler Cargo Truck
Fruits,440,crops,Small Multicab
Leafy Greens,11861,perishable goods,10 wheeler Reefer Truck
Rice,8700,crops,Dropside Truck
Chickens,2661,livestock,Medium Livestock Truck
Pigs,10491,livestock,10 wheeler Livestock Truck
Meat,1211,perishable goods,Large Refrigerated Van
Milk,5061,perishable goods,Large Refrigerated Truck
Corn,1720,crops,Large Delivery Van
Pigs,10931,livestock,10 wheeler Livestock Truck
Rice,2030,crops,Elf Truck
Corn,11750,crops,10 Wheeler Dump Truck
Vegetables,6880,crops,Dropside Truck
Milk,1301,perishable goods,Large Refrigerated Van
Vegetables,12920,crops,10 Wheeler Dump Truck
Goats,10101,livestock,10 wheeler Livestock Truck
Corn,10500,crops,10 Wheeler Cargo Truck
Fresh Vegetables,9461,perishable goods,10 wheeler Reefer Truck
Corn,9680,crops,10 Wheeler Cargo Truck
Chickens,6041,livestock,Large Livestock Truck
Corn,900,crops,Small Delivery Van
Fruits,5170,crops,Dropside Truck
Rice,11980,crops,10 Wheeler Dump Truck
Goats,9961,livestock,10 wheeler Livestock Truck
Fresh Vegetables,8201,perishable goods,Large Refrigerated Truck
Pigs,11091,livestock,10 wheeler Livestock Truck
Fresh Vegetables,2091,perishable goods,Small Refrigerated Truck
Goats,641,livestock,Small Livestock Truck
Fruits,2040,crops,Elf Truck
Rice,8090,crops,Dropside Truck
Eggs,8671,perishable goods,Large Refrigerated Truck
Corn,8360,crops,Dropside Truck
Meat,10721,perishable goods,10 wheeler Reefer Truck
Vegetables,11990,crops,10 Wheeler Cargo Truck
Goats,9151,livestock,10 wheeler Livestock Truck
Vegetables,3930,crops,Heavy Duty Pickup Truck
Vegetables,1160,crops,Small Delivery Van
Vegetables,2420,crops,Large Pickup Truck
Vegetables,10080,crops,10 Wheeler Cargo Truck
Frozen Fish,3651,perishable goods,Medium Refrigerated Truck
Meat,6201,perishable goods,Large Refrigerated Truck
Rice,12160,crops,10 Wheeler Dump Truck
Meat,291,perishable goods,Small Refrigerated Van
Corn,12290,crops,10 Wheeler Dump Truck
Milk,7221,perishable goods,Large Refrigerated Truck
Fresh Vegetables,61,perishable goods,Small Refrigerated Van
Pigs,3301,livestock,Large Livestock Truck
Pigs,2551,livestock,Medium Livestock Truck
Chickens,11881,livestock,10 wheeler Livestock Truck
Fruits,14920,crops,10 Wheeler Dump Truck
Cows,8131,livestock,10 wheeler Livestock Truck
Corn,12080,crops,10 Wheeler Dump Truck
Corn,1020,crops,Small Delivery Van
Meat,6761,perishable goods,Large Refrigerated Truck
Corn,13410,crops,10 Wheeler Dump Truck
Frozen Fish,991,perishable goods,Medium Refrigerated Van
Corn,5890,crops,Dropside Truck
Frozen Fish,10621,perishable goods,10 wheeler Reefer Truck
Vegetables,230,crops,Tricycle
Chickens,3361,livestock,Large Livestock Truck
Vegetables,11200,crops,10 Wheeler Cargo Truck
Goats,7411,livestock,10 wheeler Livestock Truck
Eggs,7441,perishable goods,Large Refrigerated Truck
Goats,6331,livestock,Large Livestock Truck
Fruits,2500,crops,Large Pickup Truck
Fruits,3260,crops,Elf Truck
Rice,9160,crops,10 Wheeler Cargo Truck
Pigs,1891,livestock,Medium Livestock Truck
Leafy Greens,11881,perishable goods,10 wheeler Reefer Truck
Cows,9931,livestock,10 wheeler Livestock Truck
Cows,4811,livestock,Large Livestock Truck
Fruits,4380,crops,Heavy Duty Pickup Truck
Rice,8980,crops,10 Wheeler Cargo Truck
Rice,6020,crops,Dropside Truck
Cows,2161,livestock,Medium Livestock Truck
Rice,9890,crops,10 Wheeler Cargo Truck
Meat,9571,perishable goods,10 wheeler Reefer Truck
Leafy Greens,4291,perishable goods,Medium Refrigerated Truck
Vegetables,8030,crops,Dropside Truck
Vegetables,10050,crops,10 Wheeler Cargo Truck
Leafy Greens,10581,perishable goods,10 wheeler Reefer Truck
Vegetables,9920,crops,10 Wheeler Cargo Truck
Corn,13380,crops,10 Wheeler Dump Truck
Goats,4261,livestock,Large Livestock Truck
Vegetables,910,crops,Small Pickup Truck
Frozen Fish,3021,perishable goods,Medium Refrigerated Truck
Frozen Fish,8151,perishable goods,Large Refrigerated Truck
Frozen Fish,11701,perishable goods,10 wheeler Reefer Truck
Rice,10070,crops,10 Wheeler Cargo Truck
Fruits,5790,crops,Dropside Truck
Frozen Fish,5101,perishable goods,Large Refrigerated Truck
Vegetables,12930,crops,10 Wheeler Dump Truck
Rice,8750,crops,10 Wheeler Cargo Truck
Leafy Greens,3891,perishable goods,Medium Refrigerated Truck
Cows,6051,livestock,Large Livestock Truck
Goats,8811,livestock,10 wheeler Livestock Truck
Pigs,9671,livestock,10 wheeler Livestock Truck
Goats,9681,livestock,10 wheeler Livestock Truck
Corn,1440,crops,Elf Truck
Frozen Fish,8021,perishable goods,Large Refrigerated Truck
Goats,9711,livestock,10 wheeler Livestock Truck
Vegetables,5430,crops,Dropside Truck
Meat,5241,perishable goods,Large Refrigerated Truck
Corn,1090,crops,Small Pickup Truck
Eggs,10291,perishable goods,10 wheeler Reefer Truck
Fruits,8480,crops,Dropside Truck
Vegetables,9230,crops,10 Wheeler Cargo Truck
Vegetables,8580,crops,10 Wheeler Cargo Truck
Fruits,8890,crops,Dropside Truck
Vegetables,12970,crops,10 Wheeler Dump Truck
Chickens,9201,livestock,10 wheeler Livestock Truck
Rice,8440,crops,Dropside Truck
Chickens,11001,livestock,10 wheeler Livestock Truck
Pigs,5341,livestock,Large Livestock Truck
Rice,2330,crops,Elf Truck
Fruits,6230,crops,Dropside Truck
Rice,2670,crops,Elf Truck
Milk,9751,perishable goods,10 wheeler Reefer Truck
Rice,8510,crops,Dropside Truck
Goats,1051,livestock,Small Livestock Truck
Leafy Greens,4851,perishable goods,Medium Refrigerated Truck
Fresh Vegetables,1661,perishable goods,Small Refrigerated Truck
Corn,5650,crops,Dropside Truck
Milk,3121,perishable goods,Medium Refrigerated Truck
Vegetables,1490,crops,Large Multicab
Goats,4521,livestock,Large Livestock Truck
Milk,7081,perishable goods,Large Refrigerated Truck
Chickens,3401,livestock,Large Livestock Truck
Goats,3221,livestock,Large Livestock Truck
Pigs,9991,livestock,10 wheeler Livestock Truck
Leafy Greens,8351,perishable goods,Large Refrigerated Truck
Rice,1830,crops,Elf Truck
Vegetables,4040,crops,Heavy Duty Pickup Truck
Eggs,2791,perishable goods,Small Refrigerated Truck
Corn,810,crops,Small Pickup Truck
Leafy Greens,7121,perishable goods,Large Refrigerated Truck
Pigs,2851,livestock,Medium Livestock Truck
Corn,8550,crops,10 Wheeler Cargo Truck
Corn,5360,crops,Dropside Truck
Chickens,8901,livestock,10 wheeler Livestock Truck
Frozen Fish,4591,perishable goods,Medium Refrigerated Truck
Eggs,5281,perishable goods,Large Refrigerated Truck
Pigs,10621,livestock,10 wheeler Livestock Truck
Rice,1380,crops,Large Delivery Van
Eggs,5671,perishable goods,Large Refrigerated Truck
Pigs,11541,livestock,10 wheeler Livestock Truck
Rice,8130,crops,10 Wheeler Cargo Truck
Vegetables,3940,crops,Heavy Duty Pickup Truck
Fruits,4290,crops,Heavy Duty Pickup Truck
Corn,14890,crops,10 Wheeler Dump Truck
Chickens,11641,livestock,10 wheeler Livestock Truck
Cows,8251,livestock,10 wheeler Livestock Truck
Corn,3960,crops,Heavy Duty Pickup Truck
Frozen Fish,551,perishable goods,Small Refrigerated Van
Vegetables,8960,crops,Dropside Truck
Vegetables,2540,crops,Large Pickup Truck
Rice,2990,crops,Large Pickup Truck
Pigs,11181,livestock,10 wheeler Livestock Truck
Frozen Fish,11741,perishable goods,10 wheeler Reefer Truck
Rice,7020,crops,Dropside Truck
Chickens,8061,livestock,10 wheeler Livestock Truck
Chickens,421,livestock,Small Livestock Truck
Eggs,11011,perishable goods,10 wheeler Reefer Truck
Milk,7731,perishable goods,Large Refrigerated Truck
Leafy Greens,5201,perishable goods,Large Refrigerated Truck
Fruits,8880,crops,10 Wheeler Cargo Truck
Fruits,12820,crops,10 Wheeler Dump Truck
Chickens,11851,livestock,10 wheeler Livestock Truck
Goats,9391,livestock,10 wheeler Livestock Truck
Fruits,11800,crops,10 Wheeler Dump Truck
Cows,3931,livestock,Large Livestock Truck
Fruits,11860,crops,10 Wheeler Cargo Truck
Fruits,3390,crops,Elf Truck
Rice,4660,crops,Dropside Truck
Pigs,861,livestock,Small Livestock Truck
Pigs,8931,livestock,10 wheeler Livestock Truck
Leafy Greens,7371,perishable goods,Large Refrigerated Truck
Rice,1600,crops,Large Delivery Van
Pigs,3881,livestock,Large Livestock Truck
Eggs,6881,perishable goods,Large Refrigerated Truck
Cows,8651,livestock,10 wheeler Livestock Truck
Fruits,10960,crops,10 Wheeler Cargo Truck
Corn,240,crops,Tricycle
Rice,11630,crops,10 Wheeler Cargo Truck
Fruits,12120,crops,10 Wheeler Dump Truck
Frozen Fish,11471,perishable goods,10 wheeler Reefer Truck
Fresh Vegetables,4971,perishable goods,Medium Refrigerated Truck
Chickens,2471,livestock,Medium Livestock Truck
Eggs,3371,perishable goods,Medium Refrigerated Truck
Corn,11780,crops,10 Wheeler Dump Truck
Meat,7641,perishable goods,Large Refrigerated Truck
Fresh Vegetables,11451,perishable goods,10 wheeler Reefer Truck
Corn,3130,crops,Elf Truck
Rice,13420,crops,10 Wheeler Dump Truck
Goats,111,livestock,Small Livestock Truck
Fruits,1190,crops,Small Pickup Truck
Milk,7321,perishable goods,Large Refrigerated Truck
Goats,4221,livestock,Large Livestock Truck
Corn,3770,crops,Heavy Duty Pickup Truck
Rice,830,crops,Small Pickup Truck
Fruits,1880,crops,Elf Truck
Fresh Vegetables,961,perishable goods,Medium Refrigerated Van
Chickens,8581,livestock,10 wheeler Livestock Truck
Pigs,11201,livestock,10 wheeler Livestock Truck
Chickens,701,livestock,Small Livestock Truck
Pigs,6771,livestock,Large Livestock Truck
Fruits,9540,crops,10 Wheeler Cargo Truck
Fresh Vegetables,2191,perishable goods,Small Refrigerated Truck
Milk,11911,perishable goods,10 wheeler Reefer Truck
Fresh Vegetables,9081,perishable goods,10 wheeler Reefer Truck
Fruits,3760,crops,Heavy Duty Pickup Truck
Corn,3450,crops,Heavy Duty Pickup Truck
Fresh Vegetables,8801,perishable goods,Large Refrigerated Truck
Fresh Vegetables,2531,perishable goods,Small Refrigerated Truck
Chickens,4901,livestock,Large Livestock Truck
Chickens,3411,livestock,Large Livestock Truck
Eggs,6611,perishable goods,Large Refrigerated Truck
Fruits,8350,crops,10 Wheeler Cargo Truck
Corn,8700,crops,10 Wheeler Cargo Truck
Pigs,171,livestock,Small Livestock Truck
Vegetables,1800,crops,Elf Truck
Meat,10061,perishable goods,10 wheeler Reefer Truck
Rice,1750,crops,Elf Truck
Corn,3410,crops,Elf Truck
Fruits,8710,crops,10 Wheeler Cargo Truck
Rice,9330,crops,10 Wheeler Cargo Truck
Cows,11421,livestock,10 wheeler Livestock Truck
Meat,7001,perishable goods,Large Refrigerated Truck
Fruits,8870,crops,10 Wheeler Cargo Truck
Rice,3370,crops,Large Pickup Truck
Cows,6901,livestock,Large Livestock Truck
Vegetables,11010,crops,10 Wheeler Dump Truck
Corn,11680,crops,10 Wheeler Dump Truck
Corn,1430,crops,Large Multicab
Cows,11721,livestock,10 wheeler Livestock Truck
Goats,4041,livestock,Large Livestock Truck
Cows,8891,livestock,10 wheeler Livestock Truck
Milk,1241,perishable goods,Large Refrigerated Van
Eggs,9811,perishable goods,10 wheeler Reefer Truck
Fruits,9780,crops,10 Wheeler Cargo Truck
Goats,1921,livestock,Medium Livestock Truck
Chickens,1551,livestock,Medium Livestock Truck
Eggs,11961,perishable goods,10 wheeler Reefer Truck
Fresh Vegetables,6861,perishable goods,Large Refrigerated Truck
Goats,3101,livestock,Large Livestock Truck
Fruits,6850,crops,Dropside Truck
Cows,10821,livestock,10 wheeler Livestock Truck
Milk,11921,perishable goods,10 wheeler Reefer Truck
Rice,9480,crops,10 Wheeler Cargo Truck
Frozen Fish,3701,perishable goods,Medium Refrigerated Truck
